0,1,2,3,4,5,6,7,8,9,order
Белый,Серый,Серый,Серый,Белый,Белый,Серый,Серый,Серый,Белый,1
Серый,Серый,Серый,Серый,Серый,Серый,Серый,Серый,Серый,Серый,2
Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,3
Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,4
Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,5
Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,6
Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,7
Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,8
Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,9
Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,10
Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,11
Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,12
Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,13
Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,14
Желтый,Желтый,Желтый,Желтый,Зеленый,Бежевый,Зеленый,Зеленый,Желтый,Желтый,15
Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Зеленый,Бежевый,Зеленый,16
Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,17
Зеленый,Зеленый,Зеленый,Зеленый,Зеленый,Бежевый,Зеленый,Зеленый,Бежевый,Зеленый,18
Бирюзовый,Зеленый,Зеленый,Бирюзовый,Зеленый,Бежевый,Зеленый,Зеленый,Бирюзовый,Зеленый,19
Бирюзовый,Бежевый,Бирюзовый,Бирюзовый,Зеленый,Бежевый,Зеленый,Зеленый,Бирюзовый,Бирюзовый,20
Бирюзовый,Голубой,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,21
Бирюзовый,Голубой,Бирюзовый,Бирюзовый,Зеленый,Бирюзовый,Зеленый,Зеленый,Бирюзовый,Бирюзовый,22
Бирюзовый,Голубой,Голубой,Бирюзовый,Зеленый,Бирюзовый,Голубой,Бирюзовый,Бирюзовый,Бирюзовый,23
Голубой,Голубой,Голубой,Бирюзовый,Голубой,Голубой,Зеленый,Голубой,Голубой,Бирюзовый,24
Голубой,Голубой,Голубой,Бирюзовый,Голубой,Бирюзовый,Голубой,Голубой,Бирюзовый,Бирюзовый,25
Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,26
Голубой,Голубой,Голубой,Бирюзовый,Голубой,Бирюзовый,Голубой,Голубой,Голубой,Голубой,27
Голубой,Голубой,Голубой,Бирюзовый,Голубой,Бирюзовый,Голубой,Голубой,Голубой,Голубой,28
Голубой,Голубой,Голубой,Бирюзовый,Голубой,Голубой,Голубой,Голубой,Голубой,Голубой,29
Голубой,Голубой,Голубой,Голубой,Голубой,Голубой,Голубой,Голубой,Голубой,Голубой,30
Голубой,Голубой,Голубой,Голубой,Голубой,Голубой,Голубой,Голубой,Голубой,Голубой,31
Голубой,Голубой,Голубой,Голубой,Голубой,Голубой,Голубой,Голубой,Голубой,Голубой,32
Голубой,Серый,Голубой,Серый,Серый,Серый,Голубой,Голубой,Голубой,Голубой,33
Лиловый,Серый,Серый,Лиловый,Лиловый,Серый,Серый,Серый,Белый,Серый,34
Лиловый,Серый,Лиловый,Лиловый,Лиловый,Лиловый,Бежевый,Лиловый,Лиловый,Лиловый,35
Лиловый,Серый,Серый,Лиловый,Лиловый,Лиловый,Лиловый,Лиловый,Лиловый,Лиловый,36
Лиловый,Серый,Серый,Лиловый,Лиловый,Лиловый,Бежевый,Лиловый,Лиловый,Лиловый,37
Лиловый,Серый,Розовый,Лиловый,Розовый,Розовый,Бежевый,Розовый,Лиловый,Лиловый,38
Розовый,Серый,Розовый,Розовый,Розовый,Розовый,Бежевый,Розовый,Розовый,Розовый,39
Розовый,Розовый,Розовый,Розовый,Розовый,Розовый,Бежевый,Розовый,Розовый,Розовый,40
Розовый,Розовый,Розовый,Розовый,Розовый,Розовый,Бежевый,Розовый,Розовый,Розовый,41
Розовый,Розовый,Розовый,Розовый,Бежевый,Розовый,Бежевый,Розовый,Бежевый,Розовый,42
Серый,Серый,Серый,Серый,Серый,Серый,Серый,Серый,Серый,Серый,43
Розовый,Розовый,Розовый,Розовый,Розовый,Розовый,Розовый,Розовый,Розовый,Розовый,44
Розовый,Розовый,Розовый,Розовый,Розовый,Розовый,Розовый,Розовый,Розовый,Розовый,45
Оранжевый,Розовый,Розовый,Оранжевый,Розовый,Розовый,Бежевый,Розовый,Бежевый,Розовый,46
Оранжевый,Бежевый,Бежевый,Оранжевый,Оранжевый,Бежевый,Бежевый,Бежевый,Бежевый,Оранжевый,47
Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,48
Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,49
Оранжевый,Бежевый,Бежевый,Оранжевый,Оранжевый,Оранжевый,Оранжевый,Бежевый,Оранжевый,Оранжевый,50
Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,51
Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,52
Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,53
Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,54
Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,55
Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,56
Желтый,Зеленый,Зеленый,Зеленый,Зеленый,Зеленый,Зеленый,Зеленый,Зеленый,Зеленый,57
Зеленый,Зеленый,Зеленый,Зеленый,Зеленый,Зеленый,Зеленый,Зеленый,Зеленый,Зеленый,58
Зеленый,Зеленый,Зеленый,Зеленый,Зеленый,Зеленый,Зеленый,Зеленый,Зеленый,Зеленый,59
Бирюзовый,Зеленый,Зеленый,Бирюзовый,Зеленый,Зеленый,Зеленый,Бирюзовый,Бирюзовый,Зеленый,60
Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,61
Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,62
Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,63
Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,64
Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,65
Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,66
Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,67
Голубой,Голубой,Бирюзовый,Бирюзовый,Голубой,Бирюзовый,Голубой,Голубой,Голубой,Бирюзовый,68
Голубой,Голубой,Голубой,Бирюзовый,Голубой,Бирюзовый,Голубой,Голубой,Голубой,Голубой,69
Голубой,Голубой,Голубой,Голубой,Голубой,Голубой,Голубой,Голубой,Голубой,Голубой,70
Голубой,Голубой,Голубой,Голубой,Голубой,Голубой,Голубой,Голубой,Голубой,Голубой,71
Голубой,Голубой,Голубой,Голубой,Голубой,Голубой,Голубой,Голубой,Голубой,Голубой,72
Голубой,Голубой,Голубой,Голубой,Голубой,Голубой,Голубой,Голубой,Голубой,Голубой,73
Голубой,Голубой,Голубой,Голубой,Голубой,Голубой,Голубой,Голубой,Голубой,Голубой,74
Лиловый,Серый,Лиловый,Лиловый,Лиловый,Лиловый,Серый,Лиловый,Лиловый,Лиловый,75
Лиловый,Лиловый,Лиловый,Лиловый,Лиловый,Лиловый,Лиловый,Лиловый,Лиловый,Лиловый,76
Лиловый,Лиловый,Лиловый,Лиловый,Лиловый,Лиловый,Лиловый,Лиловый,Лиловый,Лиловый,77
Розовый,Лиловый,Розовый,Лиловый,Розовый,Розовый,Розовый,Розовый,Розовый,Розовый,78
Розовый,Розовый,Розовый,Розовый,Розовый,Розовый,Розовый,Розовый,Розовый,Розовый,79
Розовый,Розовый,Розовый,Розовый,Розовый,Розовый,Розовый,Розовый,Розовый,Розовый,80
Розовый,Розовый,Розовый,Розовый,Розовый,Розовый,Розовый,Розовый,Розовый,Розовый,81
Розовый,Розовый,Розовый,Розовый,Розовый,Розовый,Розовый,Розовый,Розовый,Розовый,82
Розовый,Розовый,Розовый,Розовый,Розовый,Розовый,Бежевый,Розовый,Розовый,Розовый,83
Серый,Серый,Серый,Серый,Серый,Серый,Серый,Серый,Серый,Серый,84
Розовый,Розовый,Розовый,Розовый,Розовый,Розовый,Розовый,Розовый,Розовый,Розовый,85
Розовый,Розовый,Розовый,Розовый,Розовый,Розовый,Розовый,Розовый,Розовый,Розовый,86
Оранжевый,Оранжевый,Оранжевый,Оранжевый,Оранжевый,Оранжевый,Оранжевый,Оранжевый,Оранжевый,Оранжевый,87
Оранжевый,Оранжевый,Оранжевый,Оранжевый,Оранжевый,Оранжевый,Оранжевый,Оранжевый,Оранжевый,Оранжевый,88
Оранжевый,Оранжевый,Оранжевый,Оранжевый,Оранжевый,Оранжевый,Оранжевый,Оранжевый,Оранжевый,Оранжевый,89
Оранжевый,Оранжевый,Оранжевый,Оранжевый,Оранжевый,Оранжевый,Оранжевый,Оранжевый,Оранжевый,Оранжевый,90
Оранжевый,Оранжевый,Оранжевый,Оранжевый,Оранжевый,Оранжевый,Оранжевый,Оранжевый,Оранжевый,Оранжевый,91
Оранжевый,Оранжевый,Оранжевый,Оранжевый,Оранжевый,Оранжевый,Оранжевый,Оранжевый,Оранжевый,Оранжевый,92
Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,93
Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,94
Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,95
Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,96
Зеленый,Желтый,Желтый,Желтый,Зеленый,Зеленый,Зеленый,Желтый,Желтый,Желтый,97
Зеленый,Зеленый,Зеленый,Зеленый,Зеленый,Зеленый,Зеленый,Зеленый,Зеленый,Зеленый,98
Зеленый,Зеленый,Зеленый,Зеленый,Зеленый,Зеленый,Зеленый,Зеленый,Зеленый,Зеленый,99
Зеленый,Зеленый,Зеленый,Зеленый,Зеленый,Зеленый,Зеленый,Зеленый,Зеленый,Зеленый,100
Бирюзовый,Зеленый,Зеленый,Зеленый,Зеленый,Зеленый,Зеленый,Зеленый,Бирюзовый,Зеленый,101
Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Зеленый,Зеленый,Бирюзовый,Бирюзовый,102
Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,103
Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,104
Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,105
Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,106
Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,107
Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,108
