0,1,2,3,4,5,6,7,8,9,order
Серый,Серый,Серый,Серый,Серый,Серый,Серый,Серый,Серый,Серый,1
Серый,Серый,Серый,Серый,Серый,Серый,Серый,Серый,Серый,Серый,2
Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,3
Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,4
Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,5
Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,6
Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,7
Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,8
Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,9
Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,10
Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,11
Бежевый,Желтый,Желтый,Бежевый,Желтый,Бежевый,Бежевый,Бежевый,Желтый,Желтый,12
Желтый,Желтый,Желтый,Бежевый,Желтый,Бежевый,Бежевый,Бежевый,Бежевый,Желтый,13
Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,14
Бежевый,Желтый,Желтый,Желтый,Желтый,Бежевый,Бежевый,Бежевый,Желтый,Желтый,15
Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,16
Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,17
Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,18
Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,19
Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,20
Бежевый,Бежевый,Серый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,21
Бирюзовый,Бежевый,Бирюзовый,Бежевый,Бежевый,Бежевый,Бирюзовый,Бежевый,Бирюзовый,Бежевый,22
Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бежевый,Бежевый,Бирюзовый,Бежевый,Бирюзовый,Бежевый,23
Бежевый,Бежевый,Серый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,24
Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,25
Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,26
Бирюзовый,Голубой,Голубой,Голубой,Бирюзовый,Голубой,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,27
Бирюзовый,Голубой,Голубой,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бежевый,28
Бирюзовый,Голубой,Голубой,Голубой,Бирюзовый,Голубой,Голубой,Голубой,Голубой,Голубой,29
Бирюзовый,Бирюзовый,Голубой,Бирюзовый,Бежевый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бежевый,30
Бирюзовый,Бирюзовый,Бежевый,Бежевый,Бежевый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бежевый,31
Бирюзовый,Бирюзовый,Бежевый,Бирюзовый,Бежевый,Бирюзовый,Бирюзовый,Бежевый,Бирюзовый,Бежевый,32
Бирюзовый,Бирюзовый,Бежевый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бирюзовый,Бежевый,33
Серый,Бежевый,Серый,Бежевый,Бежевый,Серый,Белый,Бежевый,Бежевый,Бежевый,34
Бежевый,Лиловый,Серый,Бежевый,Лиловый,Лиловый,Бежевый,Лиловый,Бежевый,Бежевый,35
Лиловый,Лиловый,Лиловый,Лиловый,Лиловый,Лиловый,Лиловый,Лиловый,Лиловый,Лиловый,36
Бежевый,Бежевый,Лиловый,Бежевый,Лиловый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,37
Лиловый,Лиловый,Лиловый,Лиловый,Лиловый,Лиловый,Лиловый,Лиловый,Лиловый,Лиловый,38
Бежевый,Бежевый,Серый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,39
Бежевый,Лиловый,Лиловый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,40
Бирюзовый,Бежевый,Серый,Бирюзовый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,41
Бежевый,Бежевый,Серый,Бирюзовый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,42
Серый,Серый,Серый,Серый,Серый,Серый,Серый,Серый,Серый,Серый,43
Розовый,Розовый,Розовый,Розовый,Розовый,Розовый,Розовый,Бежевый,Розовый,Розовый,44
Розовый,Розовый,Бежевый,Розовый,Бежевый,Розовый,Розовый,Бежевый,Розовый,Бежевый,45
Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,46
Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,47
Бежевый,Бежевый,Коричневый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,48
Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,Бежевый,49
Бежевый,Желтый,Оранжевый,Желтый,Желтый,Бежевый,Желтый,Оранжевый,Желтый,Желтый,50
Желтый,Желтый,Оранжевый,Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,51
Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,52
Желтый,Желтый,Оранжевый,Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,53
Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,54
Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,Желтый,55
