0,1,2,3,4,5,6,7,8,9,order
white,white,white,white,white,white,white,white,white,white,1
white,white,white,white,white,white,white,white,white,white,2
white,white,white,white,white,white,white,white,white,white,3
white,white,white,white,white,white,white,white,white,white,4
beige,beige,beige,beige,beige,beige,beige,beige,beige,beige,5
beige,beige,beige,beige,beige,beige,beige,beige,beige,beige,6
beige,beige,beige,beige,beige,beige,beige,beige,beige,beige,7
beige,beige,beige,beige,beige,beige,beige,beige,beige,beige,8
beige,beige,beige,beige,beige,beige,beige,beige,beige,beige,9
yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,10
yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,11
yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,12
yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,13
yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,14
yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,15
yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,16
beige,beige,beige,beige,beige,beige,beige,beige,beige,beige,17
beige,beige,beige,beige,beige,beige,beige,beige,beige,beige,18
white,white,white,white,white,white,white,white,white,white,19
white,white,white,white,white,white,white,white,white,white,20
white,white,white,white,white,white,white,white,white,white,21
white,white,white,white,white,white,white,white,white,white,22
white,white,white,white,white,white,white,white,white,white,23
white,white,white,white,white,white,white,white,white,white,24
white,white,white,white,white,white,white,white,white,white,25
white,white,white,white,white,white,white,white,white,white,26
white,white,white,white,white,white,white,white,white,white,27
white,white,white,white,white,white,white,white,white,white,28
white,white,white,white,white,white,white,white,white,white,29
white,white,white,white,white,white,white,white,white,white,30
white,white,white,white,white,white,white,white,white,white,31
white,white,white,white,white,white,white,white,white,white,32
white,white,white,white,white,white,white,white,white,white,33
white,white,white,white,white,white,white,white,white,white,34
white,white,white,white,white,white,white,white,white,white,35
white,white,white,white,white,white,white,white,white,white,36
white,white,white,white,white,white,white,white,white,white,37
white,white,white,white,white,white,white,white,white,white,38
white,white,white,white,white,white,white,white,white,white,39
white,white,white,white,white,white,white,white,white,white,40
white,white,white,white,white,white,white,white,white,white,41
white,white,white,white,white,white,white,white,white,white,42
white,white,white,white,white,white,white,white,white,white,43
beige,beige,beige,beige,beige,beige,beige,beige,beige,beige,44
beige,beige,beige,beige,beige,beige,beige,beige,beige,beige,45
beige,beige,beige,beige,beige,beige,beige,beige,beige,beige,46
beige,beige,beige,beige,beige,beige,beige,beige,beige,beige,47
beige,beige,beige,beige,beige,beige,beige,beige,beige,beige,48
orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,49
orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,50
pink,pink,pink,pink,pink,pink,pink,pink,pink,pink,51
pink,pink,pink,pink,pink,pink,pink,pink,pink,pink,52
pink,pink,pink,pink,pink,pink,pink,pink,pink,pink,53
pink,pink,pink,pink,pink,pink,pink,pink,pink,pink,54
pink,pink,pink,pink,pink,pink,pink,pink,pink,pink,55
pink,pink,pink,pink,pink,pink,pink,pink,pink,pink,56
yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,57
green,green,green,green,green,green,green,green,green,green,58
green,green,green,green,green,green,green,green,green,green,59
green,green,green,green,green,green,green,green,green,green,60
green,green,green,green,green,green,green,green,green,green,61
green,green,green,green,green,green,green,green,green,green,62
blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,63
green,green,green,green,green,green,green,green,green,green,64
blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,65
beige,beige,beige,beige,beige,beige,beige,beige,beige,beige,66
silver,silver,silver,silver,silver,silver,silver,silver,silver,silver,67
beige,beige,beige,beige,beige,beige,beige,beige,beige,beige,68
beige,beige,beige,beige,beige,beige,beige,beige,beige,beige,69
beige,beige,beige,beige,beige,beige,beige,beige,beige,beige,70
blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,71
blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,72
blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,73
blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,74
beige,beige,beige,beige,beige,beige,beige,beige,beige,beige,75
beige,beige,beige,beige,beige,beige,beige,beige,beige,beige,76
beige,beige,beige,beige,beige,beige,beige,beige,beige,beige,77
beige,beige,beige,beige,beige,beige,beige,beige,beige,beige,78
beige,beige,beige,beige,beige,beige,beige,beige,beige,beige,79
beige,beige,beige,beige,beige,beige,beige,beige,beige,beige,80
beige,beige,beige,beige,beige,beige,beige,beige,beige,beige,81
beige,beige,beige,beige,beige,beige,beige,beige,beige,beige,82
beige,beige,beige,beige,beige,beige,beige,beige,beige,beige,83
beige,beige,beige,beige,beige,beige,beige,beige,beige,beige,84
beige,beige,beige,beige,beige,beige,beige,beige,beige,beige,85
beige,beige,beige,beige,beige,beige,beige,beige,beige,beige,86
brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,87
orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,88
orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,89
pink,pink,pink,pink,pink,pink,pink,pink,pink,pink,90
pink,pink,pink,pink,pink,pink,pink,pink,pink,pink,91
pink,pink,pink,pink,pink,pink,pink,pink,pink,pink,92
gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,93
yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,94
yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,95
gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,96
yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,97
yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,98
green,green,green,green,green,green,green,green,green,green,99
green,green,green,green,green,green,green,green,green,green,100
blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,101
green,green,green,green,green,green,green,green,green,green,102
green,green,green,green,green,green,green,green,green,green,103
green,green,green,green,green,green,green,green,green,green,104
green,green,green,green,green,green,green,green,green,green,105
green,green,green,green,green,green,green,green,green,green,106
green,green,green,green,green,green,green,green,green,green,107
green,green,green,green,green,green,green,green,green,green,108
green,green,green,green,green,green,green,green,green,green,109
gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,110
blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,111
blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,112
blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,113
green,green,green,green,green,green,green,green,green,green,114
green,green,green,green,green,green,green,green,green,green,115
beige,beige,beige,beige,beige,beige,beige,beige,beige,beige,116
beige,beige,beige,beige,beige,beige,beige,beige,beige,beige,117
beige,beige,beige,beige,beige,beige,beige,beige,beige,beige,118
beige,beige,beige,beige,beige,beige,beige,beige,beige,beige,119
beige,beige,beige,beige,beige,beige,beige,beige,beige,beige,120
gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,121
orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,122
beige,beige,beige,beige,beige,beige,beige,beige,beige,beige,123
beige,beige,beige,beige,beige,beige,beige,beige,beige,beige,124
gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,125
orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,126
orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,127
brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,128
pink,pink,pink,pink,pink,pink,pink,pink,pink,pink,129
pink,pink,pink,pink,pink,pink,pink,pink,pink,pink,130
pink,pink,pink,pink,pink,pink,pink,pink,pink,pink,131
pink,pink,pink,pink,pink,pink,pink,pink,pink,pink,132
pink,pink,pink,pink,pink,pink,pink,pink,pink,pink,133
pink,pink,pink,pink,pink,pink,pink,pink,pink,pink,134
pink,pink,pink,pink,pink,pink,pink,pink,pink,pink,135
pink,pink,pink,pink,pink,pink,pink,pink,pink,pink,136
pink,pink,pink,pink,pink,pink,pink,pink,pink,pink,137
pink,pink,pink,pink,pink,pink,pink,pink,pink,pink,138
pink,pink,pink,pink,pink,pink,pink,pink,pink,pink,139
pink,pink,pink,pink,pink,pink,pink,pink,pink,pink,140
green,green,green,green,green,green,green,green,green,green,141
green,green,green,green,green,green,green,green,green,green,142
green,green,green,green,green,green,green,green,green,green,143
green,green,green,green,green,green,green,green,green,green,144
green,green,green,green,green,green,green,green,green,green,145
green,green,green,green,green,green,green,green,green,green,146
green,green,green,green,green,green,green,green,green,green,147
green,green,green,green,green,green,green,green,green,green,148
green,green,green,green,green,green,green,green,green,green,149
green,green,green,green,green,green,green,green,green,green,150
blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,151
blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,152
blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,153
blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,154
blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,155
green,green,green,green,green,green,green,green,green,green,156
green,green,green,green,green,green,green,green,green,green,157
green,green,green,green,green,green,green,green,green,green,158
beige,beige,beige,beige,beige,beige,beige,beige,beige,beige,159
brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,160
beige,beige,beige,beige,beige,beige,beige,beige,beige,beige,161
beige,beige,beige,beige,beige,beige,beige,beige,beige,beige,162
brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,163
orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,164
orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,165
gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,166
orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,167
gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,168
orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,169
orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,170
orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,171
pink,pink,pink,pink,pink,pink,pink,pink,pink,pink,172
orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,173
pink,pink,pink,pink,pink,pink,pink,pink,pink,pink,174
orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,175
yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,176
orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,177
yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,178
orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,179
yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,180
purple,purple,purple,purple,purple,purple,purple,purple,purple,purple,181
green,green,green,green,green,green,green,green,green,green,182
green,green,green,green,green,green,green,green,green,green,183
green,green,green,green,green,green,green,green,green,green,184
green,green,green,green,green,green,green,green,green,green,185
blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,186
blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,187
green,green,green,green,green,green,green,green,green,green,188
green,green,green,green,green,green,green,green,green,green,189
green,green,green,green,green,green,green,green,green,green,190
green,green,green,green,green,green,green,green,green,green,191
blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,192
blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,193
blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,194
blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,195
blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,196
blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,197
green,green,green,green,green,green,green,green,green,green,198
green,green,green,green,green,green,green,green,green,green,199
beige,beige,beige,beige,beige,beige,beige,beige,beige,beige,200
brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,201
