0,1,2,3,4,5,6,7,8,9,order
white,white,white,white,white,white,white,white,white,white,1
white,white,white,white,white,white,white,white,white,white,2
beige,beige,beige,beige,beige,beige,beige,beige,beige,beige,3
white,white,white,white,white,white,white,white,white,white,4
beige,beige,beige,beige,beige,beige,beige,beige,beige,beige,5
white,white,white,white,white,white,white,white,white,white,6
beige,beige,beige,beige,beige,beige,beige,beige,beige,beige,7
beige,beige,beige,beige,beige,beige,beige,beige,beige,beige,8
yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,9
yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,10
orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,11
yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,12
pink,pink,pink,pink,pink,pink,pink,pink,pink,pink,13
yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,14
yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,15
yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,16
white,white,white,white,white,white,white,white,white,white,17
yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,18
white,white,white,white,white,white,white,white,white,white,19
white,white,white,white,white,white,white,white,white,white,20
silver,silver,silver,silver,silver,silver,silver,silver,silver,silver,21
silver,silver,silver,silver,silver,silver,silver,silver,silver,silver,22
white,white,white,white,white,white,white,white,white,white,23
blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,24
blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,25
white,white,white,white,white,white,white,white,white,white,26
white,white,white,white,white,white,white,white,white,white,27
white,white,white,white,white,white,white,white,white,white,28
white,white,white,white,white,white,white,white,white,white,29
white,white,white,white,white,white,white,white,white,white,30
white,white,white,white,white,white,white,white,white,white,31
white,white,white,white,white,white,white,white,white,white,32
white,white,white,white,white,white,white,white,white,white,33
white,white,white,white,white,white,white,white,white,white,34
white,white,white,white,white,white,white,white,white,white,35
white,white,white,white,white,white,white,white,white,white,36
white,white,white,white,white,white,white,white,white,white,37
white,white,white,white,white,white,white,white,white,white,38
white,white,white,white,white,white,white,white,white,white,39
white,white,white,white,white,white,white,white,white,white,40
white,white,white,white,white,white,white,white,white,white,41
beige,beige,beige,beige,beige,beige,beige,beige,beige,beige,42
white,white,white,white,white,white,white,white,white,white,43
orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,44
gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,45
orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,46
orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,47
orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,48
orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,49
orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,50
purple,purple,purple,purple,purple,purple,purple,purple,purple,purple,51
purple,purple,purple,purple,purple,purple,purple,purple,purple,purple,52
pink,pink,pink,pink,pink,pink,pink,pink,pink,pink,53
yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,54
yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,55
orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,56
pink,pink,pink,pink,pink,pink,pink,pink,pink,pink,57
green,green,green,green,green,green,green,green,green,green,58
green,green,green,green,green,green,green,green,green,green,59
green,green,green,green,green,green,green,green,green,green,60
green,green,green,green,green,green,green,green,green,green,61
blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,62
blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,63
green,green,green,green,green,green,green,green,green,green,64
blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,65
blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,66
blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,67
blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,68
green,green,green,green,green,green,green,green,green,green,69
blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,70
blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,71
turquoise,turquoise,turquoise,turquoise,turquoise,turquoise,turquoise,turquoise,turquoise,turquoise,72
green,green,green,green,green,green,green,green,green,green,73
blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,74
blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,75
blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,76
blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,77
beige,beige,beige,beige,beige,beige,beige,beige,beige,beige,78
yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,79
beige,beige,beige,beige,beige,beige,beige,beige,beige,beige,80
orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,81
yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,82
yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,83
white,white,white,white,white,white,white,white,white,white,84
orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,85
orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,86
orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,87
orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,88
orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,89
orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,90
orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,91
gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,92
purple,purple,purple,purple,purple,purple,purple,purple,purple,purple,93
pink,pink,pink,pink,pink,pink,pink,pink,pink,pink,94
orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,95
yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,96
yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,97
purple,purple,purple,purple,purple,purple,purple,purple,purple,purple,98
yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,99
green,green,green,green,green,green,green,green,green,green,100
green,green,green,green,green,green,green,green,green,green,101
green,green,green,green,green,green,green,green,green,green,102
green,green,green,green,green,green,green,green,green,green,103
green,green,green,green,green,green,green,green,green,green,104
green,green,green,green,green,green,green,green,green,green,105
blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,106
blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,107
green,green,green,green,green,green,green,green,green,green,108
blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,109
green,green,green,green,green,green,green,green,green,green,110
green,green,green,green,green,green,green,green,green,green,111
blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,112
blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,113
blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,114
blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,115
green,green,green,green,green,green,green,green,green,green,116
green,green,green,green,green,green,green,green,green,green,117
green,green,green,green,green,green,green,green,green,green,118
blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,119
blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,120
orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,121
orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,122
yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,123
orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,124
gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,125
orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,126
orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,127
orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,128
orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,129
orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,130
orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,131
orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,132
orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,133
purple,purple,purple,purple,purple,purple,purple,purple,purple,purple,134
orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,135
orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,136
yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,137
yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,138
orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,139
green,green,green,green,green,green,green,green,green,green,140
green,green,green,green,green,green,green,green,green,green,141
green,green,green,green,green,green,green,green,green,green,142
green,green,green,green,green,green,green,green,green,green,143
green,green,green,green,green,green,green,green,green,green,144
green,green,green,green,green,green,green,green,green,green,145
green,green,green,green,green,green,green,green,green,green,146
blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,147
green,green,green,green,green,green,green,green,green,green,148
blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,149
blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,150
blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,151
blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,152
blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,153
blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,154
blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,155
blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,156
blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,157
blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,158
purple,purple,purple,purple,purple,purple,purple,purple,purple,purple,159
blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,160
green,green,green,green,green,green,green,green,green,green,161
orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,162
orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,163
orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,164
orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,165
gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,166
orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,167
orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,168
orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,169
orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,170
orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,171
orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,172
orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,173
pink,pink,pink,pink,pink,pink,pink,pink,pink,pink,174
pink,pink,pink,pink,pink,pink,pink,pink,pink,pink,175
orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,176
orange,orange,orange,orange,orange,orange,orange,orange,orange,orange,177
yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,178
yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,179
yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,180
green,green,green,green,green,green,green,green,green,green,181
green,green,green,green,green,green,green,green,green,green,182
green,green,green,green,green,green,green,green,green,green,183
green,green,green,green,green,green,green,green,green,green,184
green,green,green,green,green,green,green,green,green,green,185
green,green,green,green,green,green,green,green,green,green,186
green,green,green,green,green,green,green,green,green,green,187
blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,188
blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,189
blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,190
blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,191
blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,192
blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,193
blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,194
blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,195
blue,blue,blue,blue,blue,blue,blue,blue,blue,blue,196
