0,1,2,3,4,5,6,7,8,9,order
Gray,Gray,Gray,Gray,Gray,Gray,Gray,Gray,Gray,Gray,1
Gray,Gray,Gray,Gray,Gray,Gray,Gray,Gray,Gray,Gray,2
White,Beige,Beige,Beige,Gray,Beige,Beige,Silver,Beige,Beige,3
Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,4
Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,5
Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,6
Pink,Beige,Beige,Beige,Pink,Beige,Beige,Pink,Pink,Beige,7
Beige,Beige,Beige,Beige,Pink,Beige,Pink,Pink,Beige,Beige,8
Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,9
Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,10
Yellow,Yellow,Gold,Yellow,Beige,Yellow,Gold,Gold,Gold,Yellow,11
Orange,Orange,Orange,Orange,Gold,Yellow,Orange,Gold,Gold,Orange,12
Yellow,Yellow,Yellow,Yellow,Gold,Yellow,Yellow,Gold,Yellow,Yellow,13
Yellow,Yellow,Beige,Yellow,Gold,Yellow,Yellow,Gold,Beige,Beige,14
Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,15
Yellow,Yellow,Yellow,Gold,Yellow,Yellow,Orange,Gold,Yellow,Yellow,16
Beige,Gray,Beige,Gray,Gray,Turquoise,Turquoise,Turquoise,Turquoise,Beige,17
White,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,18
Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,19
Turquoise,Yellow,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,20
Beige,Beige,Beige,Beige,Gray,Beige,Silver,Silver,Silver,Beige,21
Turquoise,Gray,Turquoise,Turquoise,Gray,Silver,Turquoise,Gray,Turquoise,Turquoise,22
Gray,Gray,Turquoise,Turquoise,Gray,Turquoise,Turquoise,Gray,Silver,Turquoise,23
Turquoise,Turquoise,Turquoise,Turquoise,Gray,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,24
Turquoise,Turquoise,Turquoise,Turquoise,Gray,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,25
White,White,White,White,Silver,White,White,White,White,Beige,26
White,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,27
Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,28
White,Turquoise,Turquoise,Turquoise,Turquoise,Silver,Turquoise,Turquoise,Turquoise,Turquoise,29
Gray,Gray,Gray,Silver,Gray,Gray,Gray,Gray,Silver,Gray,30
White,Gray,White,Turquoise,Gray,White,Turquoise,White,Gray,Turquoise,31
White,Gray,White,Silver,Gray,Gray,Gray,Gray,Silver,Gray,32
Gray,Gray,Gray,Silver,Gray,Gray,Gray,Gray,Gray,Gray,33
White,Gray,Gray,Silver,Gray,Silver,Silver,Gray,White,Gray,34
White,White,error,Silver,Silver,Silver,Silver,Silver,White,Silver,35
Gray,Gray,Gray,Silver,Gray,Gray,Gray,error,error,Gray,36
Gray,Gray,Beige,White,Gray,Beige,Gray,Gray,Silver,Gray,37
Gray,Gray,error,error,Gray,error,Turquoise,error,Gray,Gray,38
