0,1,2,3,4,5,6,7,8,9,order
Gray,White,White,White,White,White,White,White,White,White,1
Gray,Gray,Gray,Gray,Gray,Gray,Gray,Gray,Gray,Gray,2
Pink,Pink,Beige,Beige,Beige,Pink,Pink,Beige,Pink,Pink,3
Beige,Pink,Beige,Beige,Beige,Beige,Beige,Beige,Pink,Beige,4
Pink,Pink,Pink,Pink,Beige,Pink,Pink,Beige,Pink,Beige,5
Beige,Pink,Beige,Beige,Beige,Beige,Beige,Beige,Pink,Beige,6
Beige,Pink,Beige,Beige,Beige,Beige,Beige,Beige,Pink,Beige,7
Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,8
Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,9
Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,10
Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,11
Beige,Gold,Beige,Yellow,Beige,Beige,Gold,Beige,Gold,Beige,12
Yellow,Gold,Yellow,Yellow,Yellow,Yellow,Gold,Yellow,Gold,Beige,13
Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,Gold,Beige,14
Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,15
Green,Beige,Beige,Beige,Beige,Beige,Beige,Green,Green,Beige,16
Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,Turquoise,Beige,17
Green,Green,Green,Green,Green,Green,Green,Green,Green,Green,18
Turquoise,Turquoise,Turquoise,Turquoise,Green,Turquoise,Green,Turquoise,Turquoise,Green,19
Turquoise,Turquoise,Turquoise,Turquoise,Green,Green,Turquoise,Turquoise,Turquoise,Turquoise,20
Turquoise,Turquoise,Turquoise,Turquoise,Green,Turquoise,Green,Turquoise,Turquoise,Turquoise,21
Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,22
Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,23
Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,24
Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,25
Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,26
Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,27
Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,28
Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,29
Turquoise,Turquoise,Turquoise,Turquoise,Blue,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,30
Turquoise,Turquoise,Blue,Turquoise,Blue,Blue,Blue,Turquoise,Blue,Blue,31
Turquoise,Blue,Silver,Turquoise,Gray,Blue,Gray,Blue,Gray,Gray,32
Gray,Gray,White,Gray,Beige,Gray,Gray,Beige,Gray,Gray,33
Gray,Gray,Silver,Gray,Silver,Gray,Gray,Gray,Gray,Gray,34
Gray,Gray,Gray,Silver,Gray,Gray,Gray,error,Gray,Gray,35
Gray,Gray,error,Purple,Gray,Gray,Gray,Gray,Gray,Gray,36
Pink,Pink,Beige,Beige,Beige,Pink,Pink,Beige,Pink,Beige,37
Pink,Pink,Pink,Pink,Beige,Beige,Pink,Pink,Pink,Gray,38
Gray,Pink,Beige,Beige,Pink,Pink,Pink,Pink,Pink,Pink,39
Pink,Pink,Pink,Pink,Pink,Pink,Pink,Pink,Pink,Pink,40
Pink,Pink,Pink,Pink,Pink,Pink,Pink,Pink,Pink,Pink,41
Pink,Pink,Pink,Pink,Pink,Pink,Pink,Pink,Pink,Pink,42
Gray,Gray,Gray,Gray,Gray,Gray,Gray,Gray,Gray,Gray,43
Pink,Pink,Pink,Pink,Pink,Pink,Pink,Pink,Pink,Pink,44
Pink,Pink,Pink,Pink,Pink,Pink,Pink,Pink,Pink,Pink,45
Pink,Pink,Pink,Pink,Pink,Pink,Pink,Pink,Pink,Pink,46
Orange,Pink,Orange,Orange,Orange,Orange,Orange,Orange,Pink,Orange,47
Beige,Pink,Pink,Pink,Beige,Pink,Pink,Beige,Pink,Beige,48
Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,49
Orange,Gold,Orange,Orange,Orange,Orange,Gold,Orange,Orange,Orange,50
Gold,Gold,Gold,Gold,Orange,Gold,Gold,Orange,Gold,Orange,51
Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,52
Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,53
Yellow,Gold,Yellow,Gold,Yellow,Gold,Gold,Yellow,Gold,Yellow,54
Gold,Gold,Gold,Gold,Yellow,Gold,Gold,Yellow,Gold,Yellow,55
Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Green,Yellow,Green,Green,56
Green,Green,Green,Green,Green,Green,Green,Green,Green,Green,57
Green,Green,Green,Green,Green,Green,Green,Green,Green,Green,58
Green,Green,Green,Green,Green,Green,Green,Green,Green,Green,59
Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,60
Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,61
Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,62
Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,63
Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,64
Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,65
Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,66
Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,67
Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,68
Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,69
Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,70
Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,71
Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,72
Turquoise,Turquoise,Turquoise,Turquoise,Blue,Blue,Turquoise,Turquoise,Blue,Turquoise,73
Gray,Blue,Blue,Gray,Blue,Blue,Gray,Gray,Blue,Gray,74
Gray,Gray,error,Gray,error,error,Gray,Gray,Gray,Gray,75
Purple,Purple,Purple,Purple,Purple,error,Purple,Purple,Purple,Purple,76
Purple,Purple,Purple,Purple,Purple,Purple,Purple,Purple,Purple,Purple,77
Pink,Purple,Purple,Purple,Purple,Purple,Purple,Purple,Purple,Purple,78
Pink,Pink,Pink,Pink,Pink,Pink,Pink,Pink,Pink,Pink,79
Pink,Pink,Pink,Pink,Pink,Pink,Pink,Pink,Pink,Pink,80
Pink,Pink,Pink,Pink,Pink,Pink,Pink,Pink,Pink,Pink,81
Pink,Pink,Pink,Pink,Pink,Pink,Pink,Pink,Pink,Pink,82
Pink,Pink,Pink,Pink,Pink,Pink,Pink,Pink,Pink,Pink,83
Gray,Gray,Gray,Gray,Gray,Gray,Gray,Gray,Gray,Gray,84
Pink,Pink,Pink,Pink,Pink,Pink,Pink,Pink,Pink,Pink,85
Pink,Pink,Pink,Pink,Pink,Pink,Pink,Pink,Pink,Pink,86
Pink,Pink,Pink,Pink,Pink,Pink,Pink,Pink,Pink,Pink,87
Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,88
Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,89
Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,90
Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,91
Gold,Orange,Orange,Orange,Orange,Gold,Gold,Orange,Orange,Orange,92
Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,93
Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,94
Gold,Gold,Gold,Gold,Yellow,Gold,Gold,Gold,Gold,Yellow,95
Yellow,Yellow,Gold,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,96
Green,Green,Green,Green,Green,Green,Green,Green,Green,Green,97
Green,Green,Green,Green,Green,Green,Green,Green,Green,Green,98
Green,Green,Green,Green,Green,Green,Green,Green,Green,Green,99
Green,Green,Green,Green,Green,Green,Green,Green,Green,Green,100
Green,Green,Green,Green,Green,Green,Green,Green,Green,Green,101
Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Green,Turquoise,Turquoise,102
Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,103
Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,104
Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,105
Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,106
Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,107
Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,108
Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,109
Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,110
Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,111
Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Blue,Turquoise,112
Blue,Blue,Blue,Turquoise,Blue,Blue,Blue,Blue,Blue,Blue,113
Turquoise,Blue,Turquoise,Turquoise,Blue,Blue,Turquoise,Blue,Blue,Turquoise,114
Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,115
Purple,Purple,Purple,Purple,Purple,Purple,Purple,Purple,Purple,Purple,116
Purple,Purple,Purple,Purple,Purple,Purple,Purple,Purple,Purple,Purple,117
Purple,Purple,Purple,Purple,Purple,Purple,Purple,Purple,Purple,Purple,118
Pink,Purple,Purple,Purple,Purple,Purple,Purple,Purple,Purple,Purple,119
Pink,Pink,Pink,Pink,Purple,Pink,Pink,Purple,Pink,Purple,120
Pink,Pink,Pink,Pink,Pink,Pink,Pink,Pink,Pink,Pink,121
Pink,Pink,Pink,Pink,Pink,Pink,Pink,Pink,Pink,Pink,122
Pink,Pink,Pink,Pink,Pink,Pink,Pink,Pink,Pink,Pink,123
Pink,Pink,Pink,Pink,Pink,Pink,Pink,Pink,Pink,Pink,124
Gray,Gray,Gray,Gray,Gray,Gray,Gray,Gray,Gray,Gray,125
Pink,Pink,Pink,Pink,Pink,Pink,Pink,Pink,Pink,Pink,126
Pink,Pink,Red,Pink,Pink,Pink,Pink,Red,Pink,Pink,127
Red,Red,Red,Red,Red,Red,Red,Red,Orange,Red,128
Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,129
Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,130
Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,131
Orange,Orange,Orange,Orange,Orange,Orange,Gold,Orange,Gold,Orange,132
Gold,Gold,Gold,Gold,Orange,Gold,Gold,Gold,Gold,Gold,133
Gold,Gold,Orange,Gold,Orange,Gold,Gold,Gold,Gold,Gold,134
Gold,Gold,Gold,Gold,Yellow,Gold,Gold,Gold,Gold,Yellow,135
Gold,Gold,Gold,Gold,Yellow,Gold,Gold,Gold,Gold,Gold,136
Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,137
Green,Green,Green,Green,Green,Green,Green,Green,Green,Green,138
Green,Green,Green,Green,Green,Green,Green,Green,Green,Green,139
Green,Green,Green,Green,Green,Green,Green,Green,Green,Green,140
Green,Green,Green,Green,Green,Green,Green,Green,Green,Green,141
