0,1,2,3,4,5,6,7,8,9,order
Gray,White,White,White,White,White,White,Gray,White,Gray,1
Gray,Silver,Silver,Gray,Silver,Silver,Silver,Gray,Silver,Gray,2
Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,3
Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,4
Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,5
Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,6
Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,7
Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,8
Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,9
Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,10
Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,11
Beige,Gold,Yellow,Beige,Beige,Gold,Yellow,Gold,Yellow,Beige,12
Beige,Gold,Beige,Beige,Beige,Beige,Beige,Beige,Yellow,Beige,13
Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,14
Beige,Yellow,Yellow,Beige,Beige,Yellow,Yellow,Yellow,Yellow,Yellow,15
Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,16
Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,17
Green,Green,Green,Turquoise,Green,Green,Green,Green,Green,Green,18
Turquoise,Turquoise,Turquoise,Turquoise,Beige,Turquoise,Turquoise,Turquoise,Turquoise,Green,19
Beige,Beige,Beige,Turquoise,Beige,Beige,Beige,Beige,Beige,Beige,20
Turquoise,Silver,Turquoise,Turquoise,Beige,Turquoise,Silver,Turquoise,Turquoise,Gray,21
Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,22
Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,23
Turquoise,Silver,Silver,Turquoise,Silver,Silver,Silver,Turquoise,Silver,Beige,24
Turquoise,Turquoise,Silver,Turquoise,Silver,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,25
Turquoise,Turquoise,Beige,Turquoise,Beige,Beige,Beige,Turquoise,Turquoise,Beige,26
Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,27
Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,28
Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Silver,Turquoise,29
Turquoise,Blue,Silver,Turquoise,Blue,Blue,Silver,Turquoise,Silver,Blue,30
Silver,Silver,Beige,Turquoise,Silver,Beige,Silver,Silver,Silver,Beige,31
Silver,Silver,White,Blue,Silver,Silver,Silver,Silver,White,Silver,32
Silver,Silver,Silver,Gray,Silver,Silver,Silver,Silver,Silver,Silver,33
Gray,Gray,Silver,Gray,Silver,Gray,Silver,Silver,Silver,Gray,34
Silver,Gray,Silver,Silver,Silver,Gray,Silver,Silver,Silver,Gray,35
Gray,Gray,Purple,Gray,Beige,Beige,Purple,Purple,Gray,Gray,36
Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,37
Pink,Purple,Pink,Purple,Pink,Pink,Purple,Purple,Purple,Purple,38
Silver,Silver,Silver,Gray,Silver,Gray,Silver,Purple,Gray,Gray,39
Beige,Beige,Pink,Beige,Beige,Beige,Beige,Pink,Beige,Beige,40
Beige,Silver,Beige,Silver,Beige,Beige,Beige,Pink,Beige,Beige,41
Beige,Silver,Beige,Beige,Beige,Beige,Silver,Pink,Beige,Beige,42
Gray,Gray,Gray,Gray,Gray,Gray,Gray,Gray,Gray,Gray,43
Pink,Pink,Pink,Pink,Pink,Pink,Pink,Pink,Pink,Pink,44
Pink,Pink,Pink,Pink,Pink,Pink,Pink,Pink,Pink,Pink,45
Orange,Pink,Orange,Orange,Orange,Orange,Orange,Orange,Orange,Orange,46
Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,47
Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,48
Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,Beige,49
Yellow,Yellow,Gold,Orange,Yellow,Yellow,Gold,Yellow,Yellow,Yellow,50
Gold,Yellow,Gold,Orange,Orange,Yellow,Orange,Orange,Orange,Orange,51
Yellow,Yellow,Gold,Gold,Yellow,Gold,Gold,Gold,Yellow,Yellow,52
Gold,Gold,Gold,Gold,Yellow,Yellow,Gold,Gold,Yellow,Yellow,53
Gold,Yellow,Gold,Gold,Yellow,Gold,Gold,Yellow,Yellow,Yellow,54
Yellow,Yellow,Gold,Gold,Yellow,Gold,Yellow,Yellow,Yellow,Yellow,55
Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,56
Green,Green,Green,Green,Green,Green,Yellow,Green,Green,Green,57
Green,Green,Green,Green,Green,Green,Green,Green,Green,Green,58
Green,Green,Green,Green,Green,Green,Green,Green,Green,Green,59
Turquoise,Turquoise,Turquoise,Turquoise,Green,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,60
Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,61
Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,62
Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,63
Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,64
Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,65
Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,66
Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,67
Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,68
Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,69
Turquoise,Turquoise,Turquoise,Turquoise,Blue,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,70
Turquoise,Turquoise,Blue,Turquoise,Blue,Turquoise,Turquoise,Turquoise,Turquoise,Turquoise,71
Blue,Turquoise,Blue,Turquoise,Turquoise,Turquoise,Blue,Turquoise,Turquoise,Turquoise,72
Turquoise,Blue,Blue,Turquoise,Blue,Turquoise,Blue,Blue,Turquoise,Turquoise,73
Silver,Silver,Silver,Silver,Silver,Silver,Silver,Silver,Silver,Gray,74
Silver,Gray,Silver,Gray,Silver,Silver,Silver,Purple,Silver,Gray,75
Purple,Purple,Purple,Purple,Purple,Purple,Purple,Purple,Purple,Purple,76
Purple,Purple,Purple,Purple,Purple,Purple,Purple,Purple,Purple,Purple,77
Purple,Purple,Purple,Purple,Purple,Purple,Purple,Purple,Purple,Purple,78
Pink,Purple,Pink,Pink,Pink,Purple,Pink,Purple,Pink,Purple,79
Pink,Pink,Pink,Pink,Pink,Pink,Pink,Pink,Pink,Pink,80
Pink,Pink,Pink,Pink,Pink,Pink,Pink,Pink,Pink,Pink,81
Pink,Pink,Pink,Pink,Pink,Pink,Pink,Pink,Pink,Pink,82
Pink,Pink,Pink,Pink,Pink,Beige,Pink,Pink,Beige,Pink,83
Gray,Gray,Gray,Gray,Gray,Gray,Gray,Gray,Gray,Gray,84
