order,y_coordinate,x_coordinate,r,g,b,answers
147,6,22,0,167,158,"['Turquoise', 'Turquoise', 'Blue', 'Green', 'Turquoise', 'Blue', 'Blue', 'Turquoise', 'Green', 'Turquoise', 'Turquoise', 'Blue', 'Turquoise', 'Green', 'Turquoise', 'Turquoise', 'Turquoise', 'Turquoise', 'Blue', 'Turquoise', 'Turquoise']"
53,8,10,237,200,0,"['Gold', 'Yellow', 'Yellow', 'Yellow', 'Yellow', 'Gold', 'Yellow', 'Yellow', 'Yellow', 'Yellow', 'Yellow', 'Yellow', 'Yellow', 'Gold', 'Yellow', 'Yellow', 'Gold', 'Yellow', 'Yellow']"
187,5,21,0,144,124,"['Turquoise', 'Green', 'Green', 'Green', 'Green', 'Turquoise', 'Blue', 'Turquoise', 'Green', 'Green', 'Green', 'Green', 'Green', 'Blue', 'Turquoise', 'Green', 'Green', 'Blue', 'Green', 'Green']"
110,7,26,109,186,208,"['Blue', 'Blue', 'Turquoise', 'Turquoise', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Turquoise', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue']"
218,4,11,109,98,18,"['Brown', 'Green', 'Brown', 'Brown', 'Green', 'Green', 'Green', 'Green', 'Green', 'Brown', 'Brown', 'Green', 'Green', 'Green', 'Green', 'Brown', 'Green', 'Brown']"
233,4,26,0,109,143,"['Blue', 'Blue', 'Blue', 'Blue', 'Turquoise', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Turquoise', 'Turquoise']"
69,8,26,160,210,223,"['Blue', 'Purple', 'Turquoise', 'Blue', 'Blue', 'Black', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Turquoise', 'Turquoise', 'Gray', 'Blue', 'Blue', 'Blue']"
122,7,38,242,147,182,"['Red', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink']"
189,5,23,0,140,142,"['Turquoise', 'Turquoise', 'Blue', 'Green', 'Blue', 'Blue', 'Green', 'Blue', 'Orange', 'Turquoise', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Turquoise', 'Turquoise', 'Turquoise', 'Blue']"
203,5,37,189,86,151,"['Pink', 'Pink', 'Purple', 'Pink', 'Pink', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Pink', 'Purple', 'Purple', 'Purple', 'Purple', 'Pink', 'Pink', 'Pink', 'Pink']"
206,5,40,215,69,107,"['Pink', 'Pink', 'Pink', 'Red', 'Pink', 'Pink', 'Pink', 'Red', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink']"
179,5,13,118,130,1,"['Green', 'Beige', 'Beige', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green']"
76,8,33,207,198,226,"['Gray', 'Purple', 'Gray', 'Purple', 'Purple', 'Silver', 'Gray', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Gray', 'Purple']"
252,3,4,136,37,17,"['Red', 'Red', 'Red', 'Red', 'Brown', 'Red', 'Brown', 'Brown', 'Brown', 'Red', 'Brown', 'Brown', 'Brown', 'Purple', 'Brown', 'Red', 'Red', 'Red', 'Brown', 'Red', 'Red']"
197,5,31,105,118,190,"['Blue', 'Blue', 'Purple', 'Blue', 'Purple', 'Blue', 'Blue', 'Blue', 'Green', 'Purple', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue']"
115,7,31,164,174,217,"['Blue', 'Purple', 'Purple', 'Purple', 'Blue', 'Blue', 'Purple', 'Purple', 'Purple', 'Blue', 'Blue', 'Blue', 'Silver', 'Blue', 'Gray', 'Purple', 'Blue', 'Blue', 'Blue']"
226,4,19,0,116,82,"['Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green']"
267,3,19,0,89,60,"['Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Turquoise', 'Green', 'Green', 'Green', 'Green', 'Green']"
39,9,37,238,226,232,"['Gray', 'Beige', 'Pink', 'Pink', 'Pink', 'Gray', 'Beige', 'Pink', 'Pink', 'Gray', 'Gray', 'Purple', 'Gray', 'Pink', 'Silver', 'Silver', 'Pink', 'Pink', 'Gray']"
200,5,34,151,105,174,"['Purple', 'Turquoise', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple']"
43,8,0,202,202,202,"['Gray', 'Gray', 'Gray', 'Gray', 'Silver', 'Gray', 'Gray', 'Purple', 'Gray', 'Gray', 'Gray', 'Blue', 'Silver', 'Silver', 'Gray', 'Gray', 'Gray', 'Silver', 'Gray']"
277,3,29,0,76,140,"['Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue']"
204,5,38,197,82,134,"['Pink', 'Pink', 'Purple', 'Pink', 'Pink', 'Pink', 'Purple', 'Pink', 'Purple', 'Purple', 'Purple', 'Pink', 'Pink', 'Pink', 'Pink', 'Purple', 'Pink', 'Pink', 'Pink', 'Pink']"
295,2,6,74,41,23,"['Brown', 'Brown', 'Brown', 'Brown', 'Brown', 'Brown', 'Black', 'Brown', 'Brown', 'Brown', 'Brown', 'Brown', 'Brown', 'Brown', 'Brown', 'Red', 'Brown', 'Brown', 'Brown', 'Brown']"
8,9,6,246,226,210,"['Gray', 'Pink', 'Beige', 'Beige', 'Pink', 'Beige', 'Beige', 'Beige', 'Beige', 'Pink', 'Beige', 'Pink', 'Pink', 'Pink', 'Pink', 'Beige', 'Beige', 'Beige', 'Beige']"
58,8,15,156,220,94,"['Orange', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Turquoise', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green']"
35,9,33,231,228,239,"['Silver', 'Silver', 'Gray', 'Purple', 'Silver', 'Silver', 'Purple', 'Purple', 'Gray', 'Purple', 'Silver', 'Blue', 'Silver', 'Purple', 'Pink', 'Gray', 'Silver', 'Gray', 'Purple']"
