order,y_coordinate,x_coordinate,r,g,b,answers
1,10,0,243,243,243,"['Gray', 'Silver']"
3,9,1,242,226,225,['Gray']
4,9,2,243,226,223,"['Pink', 'Silver']"
5,9,3,244,226,221,['Pink']
6,9,4,245,226,219,"['Gray', 'Pink']"
7,9,5,246,226,215,"['Silver', 'Pink']"
8,9,6,246,226,210,"['Gray', 'Beige']"
9,9,7,245,227,206,"['Pink', 'Silver']"
10,9,8,243,228,202,"['Pink', 'Beige', 'Pink']"
13,9,11,243,232,140,"['Yellow', 'Beige']"
14,9,12,237,234,140,['Yellow']
15,9,13,228,236,142,"['Yellow', 'Beige']"
16,9,14,223,236,172,['Gray']
17,9,15,219,235,204,"['Green', 'Silver']"
18,9,16,213,236,209,['Pink']
19,9,17,209,236,214,"['Gray', 'Blue']"
22,9,20,204,237,224,"['Green', 'Blue']"
23,9,21,204,237,227,"['Gray', 'Blue', 'Blue', 'Silver']"
25,9,23,204,236,233,['Blue']
26,9,24,206,235,235,['Gray']
27,9,25,208,234,238,['Pink']
28,9,26,211,234,239,"['Pink', 'Blue']"
29,9,27,214,233,239,"['Gray', 'Blue']"
30,9,28,217,232,240,"['Gray', 'Blue']"
31,9,29,221,231,240,"['Silver', 'Gray', 'Silver']"
32,9,30,223,230,240,"['Silver', 'Purple', 'Gray']"
33,9,31,227,229,240,"['Silver', 'Gray']"
35,9,33,231,228,239,['Silver']
36,9,34,232,228,238,['Gray']
37,9,35,236,227,235,"['Pink', 'Gray']"
39,9,37,238,226,232,"['Gray', 'Pink']"
41,9,39,241,226,228,['Silver']
42,9,40,241,226,227,"['Pink', 'Pink']"
43,8,0,202,202,202,"['Gray', 'Silver']"
44,8,1,251,186,185,['Pink']
45,8,2,253,186,179,['Pink']
46,8,3,254,186,171,"['Pink', 'Pink']"
48,8,5,252,188,153,['Pink']
50,8,7,254,190,114,"['Beige', 'Beige']"
51,8,8,255,189,0,['Yellow']
52,8,9,254,194,0,['Yellow']
53,8,10,237,200,0,['Gold']
54,8,11,223,205,0,['Gold']
55,8,12,213,208,0,"['Gold', 'Yellow']"
56,8,13,197,213,0,['Green']
58,8,15,156,220,94,"['Orange', 'Green']"
60,8,17,127,222,156,"['Green', 'Green']"
62,8,19,133,219,185,['Blue']
63,8,20,130,219,192,['Blue']
64,8,21,127,219,198,"['Turquoise', 'Turquoise', 'Blue']"
65,8,22,154,214,204,['Beige']
66,8,23,154,213,209,['Turquoise']
69,8,26,160,210,223,['Blue']
70,8,27,166,209,225,"['Blue', 'Blue']"
72,8,29,164,207,245,"['Blue', 'Blue']"
75,8,32,201,200,227,['Purple']
76,8,33,207,198,226,['Gray']
77,8,34,211,197,223,"['Gray', 'Silver']"
