order,y_coordinate,x_coordinate,r,g,b,answers
1,10,0,243,243,243,"['Gray', 'Gray', 'Gray', 'Gray', 'Silver', 'Silver', 'Silver', 'Gray', 'Silver', 'Silver', 'Gray', 'Gray']"
2,9,0,229,229,229,"['Silver', 'Silver', 'Gray', 'Gray', 'Purple', 'Gray', 'Gray', 'Silver', 'Silver', 'Gray', 'Gray', 'Gray', 'Beige', 'Blue', 'Gray', 'Gray']"
3,9,1,242,226,225,"['Pink', 'Beige', 'Silver', 'Beige', 'Pink', 'Pink', 'Pink', 'Beige', 'Pink', 'Gray', 'Pink', 'Pink', 'Gray']"
4,9,2,243,226,223,"['Beige', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink']"
5,9,3,244,226,221,"['Pink', 'Beige', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Beige', 'Brown', 'Pink', 'Orange', 'Pink', 'Silver']"
6,9,4,245,226,219,"['Pink', 'Beige', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Beige', 'Pink']"
7,9,5,246,226,215,"['Beige', 'Beige', 'Beige', 'Pink', 'Pink', 'Beige', 'Pink', 'Orange', 'Pink', 'Beige', 'Gold', 'Beige', 'Pink', 'Beige']"
8,9,6,246,226,210,"['Pink', 'Beige', 'Beige', 'Pink', 'Beige', 'Pink', 'Pink', 'Pink', 'Pink', 'Beige', 'Beige', 'Beige', 'Beige']"
9,9,7,245,227,206,"['Beige', 'Beige', 'Beige', 'Beige', 'Pink', 'Beige', 'Yellow', 'Beige', 'Pink', 'Pink', 'Silver', 'Beige', 'Beige', 'Beige', 'Beige', 'Beige']"
10,9,8,243,228,202,"['Beige', 'Beige', 'Pink', 'Beige', 'Pink', 'Pink', 'Gray', 'Gold', 'Gold', 'Beige', 'Gold', 'Pink']"
11,9,9,250,228,172,"['Beige', 'Beige', 'Yellow', 'Beige', 'Beige', 'Yellow', 'Beige', 'Beige', 'Beige', 'Beige', 'Yellow', 'Yellow', 'Yellow', 'Beige']"
12,9,10,249,230,142,"['Yellow', 'Yellow', 'Yellow', 'Beige', 'Yellow', 'Yellow', 'Yellow', 'Yellow', 'Yellow', 'Beige', 'Beige', 'Beige', 'Beige', 'Beige', 'Yellow', 'Yellow', 'Yellow', 'Yellow']"
13,9,11,243,232,140,"['Yellow', 'Yellow', 'Yellow', 'Yellow', 'Yellow', 'Beige', 'Yellow', 'Beige', 'Beige', 'Yellow', 'Green', 'Yellow', 'Yellow', 'Green']"
14,9,12,237,234,140,"['Gold', 'Yellow', 'Yellow', 'Yellow', 'Beige', 'Yellow', 'Yellow', 'Yellow', 'Yellow', 'Yellow', 'Beige', 'Yellow', 'Yellow', 'Yellow', 'Yellow']"
