order,y_coordinate,x_coordinate,r,g,b,answers
9,9,7,245,227,206,"['Бежевый', 'Бежевый', 'Бежевый', 'Бежевый', 'Желтый', 'Желтый', 'Бежевый', 'Бежевый', 'Фиолетовый', 'Бежевый', 'Розовый', 'Розовый', 'Бежевый', 'Бежевый']"
208,4,1,188,30,71,"['Лиловый', 'Красный', 'Розовый', 'Розовый', 'Красный', 'Красный', 'Розовый', 'Розовый', 'Красный', 'Красный', 'Лиловый', 'Красный']"
119,7,35,209,159,209,"['Фиолетовый', 'Лиловый', 'Розовый', 'Лиловый', 'Фиолетовый', 'Фиолетовый', 'Лиловый', 'Лиловый', 'Фиолетовый', 'Лиловый', 'Розовый']"
277,3,29,0,76,140,"['Синий', 'Синий', 'Синий', 'Лиловый', 'Синий', 'Синий', 'Синий', 'Синий', 'Синий', 'Синий', 'Синий', 'Синий']"
312,2,23,0,56,59,"['Зеленый', 'Зеленый', 'Бирюзовый', 'Черный', 'Зеленый', 'Бирюзовый', 'Зеленый', 'Синий', 'Синий', 'Бирюзовый', 'Черный', 'Синий']"
160,6,35,190,128,192,"['Фиолетовый', 'Лиловый', 'Лиловый', 'Розовый', 'Розовый', 'Лиловый', 'Лиловый', 'Лиловый', 'Лиловый', 'Фиолетовый', 'Розовый', 'Лиловый', 'Фиолетовый']"
153,6,28,35,159,215,"['Голубой', 'Синий', 'Голубой', 'Голубой', 'Голубой', 'Синий', 'Голубой', 'Синий', 'Голубой', 'Голубой', 'Голубой', 'Голубой']"
281,3,33,94,53,129,"['Фиолетовый', 'Фиолетовый', 'Фиолетовый', 'Фиолетовый', 'Фиолетовый', 'Фиолетовый', 'Фиолетовый', 'Фиолетовый', 'Фиолетовый', 'Фиолетовый', 'Фиолетовый', 'Фиолетовый', 'Фиолетовый']"
267,3,19,0,89,60,"['Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Коричневый', 'Зеленый', 'Зеленый', 'Бирюзовый']"
97,7,13,170,185,0,"['Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Зеленый', 'Желтый', 'Зеленый']"
