order,y_coordinate,x_coordinate,r,g,b,answers
1,10,0,243,243,243,"['Белый', 'Белый', 'Бежевый', 'Серый', 'Белый', 'Белый', 'Белый', 'Белый', 'Серый', 'Серый']"
2,9,0,229,229,229,"['Белый', 'Серый', 'Белый', 'Серый', 'Белый', 'Белый', 'Белый', 'Лиловый', 'Белый', 'Серый', 'Белый', 'Голубой']"
3,9,1,242,226,225,"['Серый', 'Зеленый', 'Розовый', 'Розовый', 'Розовый', 'Бежевый', 'Бежевый', 'Розовый', 'Розовый', 'Бежевый', 'Розовый']"
4,9,2,243,226,223,"['Лиловый', 'Бежевый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Бежевый', 'Лиловый', 'Розовый', 'Розовый', 'Розовый', 'Фиолетовый']"
5,9,3,244,226,221,"['Бежевый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Бежевый', 'Белый', 'Розовый', 'Розовый', 'Розовый', 'Розовый']"
6,9,4,245,226,219,"['Белый', 'Розовый', 'Розовый', 'Розовый', 'Бежевый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Розовый', 'Лиловый']"
7,9,5,246,226,215,"['Лиловый', 'Бежевый', 'Розовый', 'Серый', 'Желтый', 'Розовый', 'Розовый', 'Бежевый', 'Розовый', 'Белый', 'Розовый']"
8,9,6,246,226,210,"['Бежевый', 'Розовый', 'Розовый', 'Бежевый', 'Бежевый', 'Бежевый', 'Бежевый', 'Бежевый', 'Розовый', 'Оранжевый', 'Бежевый', 'Бежевый']"
9,9,7,245,227,206,"['Бежевый', 'Бежевый', 'Бежевый', 'Желтый', 'Желтый', 'Бежевый', 'Бежевый', 'Розовый', 'Розовый', 'Бежевый', 'Бежевый']"
10,9,8,243,228,202,"['Бежевый', 'Желтый', 'Бежевый', 'Бежевый', 'Бежевый', 'Желтый', 'Бежевый', 'Бежевый', 'Бежевый', 'Розовый']"
11,9,9,250,228,172,"['Желтый', 'Желтый', 'Желтый', 'Желтый', 'Желтый', 'Желтый', 'Бежевый', 'Бежевый', 'Желтый', 'Желтый', 'Розовый', 'Желтый']"
12,9,10,249,230,142,"['Бежевый', 'Бежевый', 'Желтый', 'Желтый', 'Желтый', 'Желтый', 'Желтый', 'Желтый', 'Желтый', 'Желтый', 'Желтый']"
13,9,11,243,232,140,"['Бежевый', 'Желтый', 'Желтый', 'Желтый', 'Бежевый', 'Желтый', 'Желтый', 'Желтый', 'Желтый']"
14,9,12,237,234,140,"['Бежевый', 'Желтый', 'Желтый', 'Желтый', 'Желтый', 'Бежевый', 'Желтый', 'Желтый', 'Желтый', 'Желтый']"
15,9,13,228,236,142,"['Зеленый', 'Бежевый', 'Желтый', 'Желтый', 'Бирюзовый', 'Желтый', 'Желтый', 'Желтый', 'Зеленый', 'Желтый', 'Желтый', 'Бежевый', 'Желтый']"
16,9,14,223,236,172,"['Зеленый', 'Бежевый', 'Зеленый', 'Бежевый', 'Бирюзовый', 'Бежевый', 'Бирюзовый', 'Желтый', 'Зеленый', 'Желтый']"
