,origin_id,participant_id,response_id,answer,stim_1,stim_2,idx_1,idx_2,sex_1,sex_2,dataset_1,dataset_2,speaker_1,speaker_2,stim_1_name,stim_2_name,stim_1_symbol,stim_2_symbol,stim_1_symbol_idx,stim_2_symbol_idx
0,164,6,81.0,0.0,https://mini-kinetics-psy.s3.amazonaws.com/vocal_consonants/consonants/male/internationalphoneticassociation-org/JW/Voiceless_alveolar_plosive.mp3,https://mini-kinetics-psy.s3.amazonaws.com/vocal_consonants/consonants/male/internationalphoneticassociation-org/JW/Voiceless_postalveolar_fricative.mp3,10,14,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW,Voiceless_alveolar_plosive,Voiceless_postalveolar_fricative,t,ʃ,1,6
1,250,6,83.0,1.0,https://mini-kinetics-psy.s3.amazonaws.com/vocal_consonants/consonants/male/internationalphoneticassociation-org/JW/Bilabial_nasal.mp3,https://mini-kinetics-psy.s3.amazonaws.com/vocal_consonants/consonants/male/internationalphoneticassociation-org/JW/Voiced_bilabial_plosive.mp3,1,4,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW,Bilabial_nasal,Voiced_bilabial_plosive,m,b,14,7
2,510,6,85.0,1.0,https://mini-kinetics-psy.s3.amazonaws.com/vocal_consonants/consonants/female/internationalphoneticassociation-org/JH/Alveolar_nasal.mp3,https://mini-kinetics-psy.s3.amazonaws.com/vocal_consonants/consonants/female/internationalphoneticassociation-org/JH/Voiceless_bilabial_plosive.mp3,0,11,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH,Alveolar_nasal,Voiceless_bilabial_plosive,n,p,15,0
3,218,6,88.0,1.0,https://mini-kinetics-psy.s3.amazonaws.com/vocal_consonants/consonants/male/internationalphoneticassociation-org/JW/Bilabial_nasal.mp3,https://mini-kinetics-psy.s3.amazonaws.com/vocal_consonants/consonants/male/internationalphoneticassociation-org/JW/Voiceless_labiodental_fricative.mp3,1,13,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW,Bilabial_nasal,Voiceless_labiodental_fricative,m,f,14,3
4,504,6,92.0,2.0,https://mini-kinetics-psy.s3.amazonaws.com/vocal_consonants/consonants/male/internationalphoneticassociation-org/JW/Voiced_alveolar_fricative.mp3,https://mini-kinetics-psy.s3.amazonaws.com/vocal_consonants/consonants/male/internationalphoneticassociation-org/JW/Voiceless_bilabial_plosive.mp3,2,11,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW,Voiced_alveolar_fricative,Voiceless_bilabial_plosive,z,p,12,0
5,292,6,106.0,0.0,https://mini-kinetics-psy.s3.amazonaws.com/vocal_consonants/consonants/female/internationalphoneticassociation-org/JH/Alveolar_nasal.mp3,https://mini-kinetics-psy.s3.amazonaws.com/vocal_consonants/consonants/female/internationalphoneticassociation-org/JH/Voiceless_velar_plosive.mp3,0,15,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH,Alveolar_nasal,Voiceless_velar_plosive,n,k,15,2
6,86,6,109.0,4.0,https://mini-kinetics-psy.s3.amazonaws.com/vocal_consonants/consonants/male/internationalphoneticassociation-org/JW/Voiced_velar_plosive.mp3,https://mini-kinetics-psy.s3.amazonaws.com/vocal_consonants/consonants/male/internationalphoneticassociation-org/JW/Voiceless_alveolar_fricative.mp3,8,9,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW,Voiced_velar_plosive,Voiceless_alveolar_fricative,g,s,9,5
7,508,6,111.0,3.0,https://mini-kinetics-psy.s3.amazonaws.com/vocal_consonants/consonants/male/internationalphoneticassociation-org/JW/Voiced_alveolar_plosive.mp3,https://mini-kinetics-psy.s3.amazonaws.com/vocal_consonants/consonants/male/internationalphoneticassociation-org/JW/Voiceless_alveolar_fricative.mp3,3,9,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW,Voiced_alveolar_plosive,Voiceless_alveolar_fricative,d,s,8,5
8,454,6,113.0,0.0,https://mini-kinetics-psy.s3.amazonaws.com/vocal_consonants/consonants/female/internationalphoneticassociation-org/JH/Voiced_alveolar_plosive.mp3,https://mini-kinetics-psy.s3.amazonaws.com/vocal_consonants/consonants/female/internationalphoneticassociation-org/JH/Voiceless_labiodental_fricative.mp3,3,13,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH,Voiced_alveolar_plosive,Voiceless_labiodental_fricative,d,f,8,3
9,106,6,118.0,0.0,https://mini-kinetics-psy.s3.amazonaws.com/vocal_consonants/consonants/female/internationalphoneticassociation-org/JH/Voiced_alveolar_plosive.mp3,https://mini-kinetics-psy.s3.amazonaws.com/vocal_consonants/consonants/female/internationalphoneticassociation-org/JH/Voiced_velar_plosive.mp3,3,8,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH,Voiced_alveolar_plosive,Voiced_velar_plosive,d,g,8,9
10,514,6,122.0,0.0,https://mini-kinetics-psy.s3.amazonaws.com/vocal_consonants/consonants/male/internationalphoneticassociation-org/JW/Bilabial_nasal.mp3,https://mini-kinetics-psy.s3.amazonaws.com/vocal_consonants/consonants/male/internationalphoneticassociation-org/JW/Voiced_labiodental_fricative.mp3,1,6,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW,Bilabial_nasal,Voiced_labiodental_fricative,m,v,14,10
11,62,6,126.0,2.0,https://mini-kinetics-psy.s3.amazonaws.com/vocal_consonants/consonants/female/internationalphoneticassociation-org/JH/Voiced_alveolar_plosive.mp3,https://mini-kinetics-psy.s3.amazonaws.com/vocal_consonants/consonants/female/internationalphoneticassociation-org/JH/Voiced_labiodental_fricative.mp3,3,6,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH,Voiced_alveolar_plosive,Voiced_labiodental_fricative,d,v,8,10
12,220,6,132.0,1.0,https://mini-kinetics-psy.s3.amazonaws.com/vocal_consonants/consonants/female/internationalphoneticassociation-org/JH/Bilabial_nasal.mp3,https://mini-kinetics-psy.s3.amazonaws.com/vocal_consonants/consonants/female/internationalphoneticassociation-org/JH/Voiceless_postalveolar_fricative.mp3,1,14,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH,Bilabial_nasal,Voiceless_postalveolar_fricative,m,ʃ,14,6
13,48,1,146.0,4.0,https://mini-kinetics-psy.s3.amazonaws.com/vocal_consonants/consonants/female/internationalphoneticassociation-org/JH/Voiced_velar_plosive.mp3,https://mini-kinetics-psy.s3.amazonaws.com/vocal_consonants/consonants/female/internationalphoneticassociation-org/JH/Voiceless_dental_fricative.mp3,8,12,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH,Voiced_velar_plosive,Voiceless_dental_fricative,g,θ,9,4
14,478,6,139.0,0.0,https://mini-kinetics-psy.s3.amazonaws.com/vocal_consonants/consonants/female/internationalphoneticassociation-org/JH/Voiceless_alveolar_plosive.mp3,https://mini-kinetics-psy.s3.amazonaws.com/vocal_consonants/consonants/female/internationalphoneticassociation-org/JH/Voiceless_postalveolar_fricative.mp3,10,14,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH,Voiceless_alveolar_plosive,Voiceless_postalveolar_fricative,t,ʃ,1,6
15,360,6,144.0,0.0,https://mini-kinetics-psy.s3.amazonaws.com/vocal_consonants/consonants/male/internationalphoneticassociation-org/JW/Alveolar_nasal.mp3,https://mini-kinetics-psy.s3.amazonaws.com/vocal_consonants/consonants/male/internationalphoneticassociation-org/JW/Voiceless_bilabial_plosive.mp3,0,11,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW,Alveolar_nasal,Voiceless_bilabial_plosive,n,p,15,0
16,132,6,145.0,0.0,https://mini-kinetics-psy.s3.amazonaws.com/vocal_consonants/consonants/male/internationalphoneticassociation-org/JW/Voiceless_alveolar_fricative.mp3,https://mini-kinetics-psy.s3.amazonaws.com/vocal_consonants/consonants/male/internationalphoneticassociation-org/JW/Voiceless_bilabial_plosive.mp3,9,11,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW,Voiceless_alveolar_fricative,Voiceless_bilabial_plosive,s,p,5,0
17,474,1,170.0,4.0,https://mini-kinetics-psy.s3.amazonaws.com/vocal_consonants/consonants/female/internationalphoneticassociation-org/JH/Voiced_labiodental_fricative.mp3,https://mini-kinetics-psy.s3.amazonaws.com/vocal_consonants/consonants/female/internationalphoneticassociation-org/JH/Voiceless_velar_plosive.mp3,6,15,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH,Voiced_labiodental_fricative,Voiceless_velar_plosive,v,k,10,2
18,466,6,148.0,0.0,https://mini-kinetics-psy.s3.amazonaws.com/vocal_consonants/consonants/female/internationalphoneticassociation-org/JH/Voiceless_alveolar_fricative.mp3,https://mini-kinetics-psy.s3.amazonaws.com/vocal_consonants/consonants/female/internationalphoneticassociation-org/JH/Voiceless_alveolar_plosive.mp3,9,10,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH,Voiceless_alveolar_fricative,Voiceless_alveolar_plosive,s,t,5,1
19,456,6,151.0,3.0,https://mini-kinetics-psy.s3.amazonaws.com/vocal_consonants/consonants/male/internationalphoneticassociation-org/JW/Voiced_velar_plosive.mp3,https://mini-kinetics-psy.s3.amazonaws.com/vocal_consonants/consonants/male/internationalphoneticassociation-org/JW/Voiceless_alveolar_plosive.mp3,8,10,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW,Voiced_velar_plosive,Voiceless_alveolar_plosive,g,t,9,1
20,54,6,155.0,5.0,https://mini-kinetics-psy.s3.amazonaws.com/vocal_consonants/consonants/female/internationalphoneticassociation-org/JH/Voiceless_alveolar_fricative.mp3,https://mini-kinetics-psy.s3.amazonaws.com/vocal_consonants/consonants/female/internationalphoneticassociation-org/JH/Voiceless_velar_plosive.mp3,9,15,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH,Voiceless_alveolar_fricative,Voiceless_velar_plosive,s,k,5,2
21,280,6,160.0,0.0,https://mini-kinetics-psy.s3.amazonaws.com/vocal_consonants/consonants/female/internationalphoneticassociation-org/JH/Bilabial_nasal.mp3,https://mini-kinetics-psy.s3.amazonaws.com/vocal_consonants/consonants/female/internationalphoneticassociation-org/JH/Voiced_alveolar_fricative.mp3,1,2,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH,Bilabial_nasal,Voiced_alveolar_fricative,m,z,14,12
22,506,6,162.0,1.0,https://mini-kinetics-psy.s3.amazonaws.com/vocal_consonants/consonants/female/internationalphoneticassociation-org/JH/Voiceless_dental_fricative.mp3,https://mini-kinetics-psy.s3.amazonaws.com/vocal_consonants/consonants/female/internationalphoneticassociation-org/JH/Voiceless_velar_plosive.mp3,12,15,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH,Voiceless_dental_fricative,Voiceless_velar_plosive,θ,k,4,2
23,330,6,168.0,2.0,https://mini-kinetics-psy.s3.amazonaws.com/vocal_consonants/consonants/female/internationalphoneticassociation-org/JH/Voiceless_bilabial_plosive.mp3,https://mini-kinetics-psy.s3.amazonaws.com/vocal_consonants/consonants/female/internationalphoneticassociation-org/JH/Voiceless_labiodental_fricative.mp3,11,13,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH,Voiceless_bilabial_plosive,Voiceless_labiodental_fricative,p,f,0,3
