origin_id,participant_id,response_id,answer,synth,chord_1,chord_2,idx_1,idx_2
433,3,472.0,1,harmonic,[],[],11,23
137,3,146.0,4,harmonic,[],[],3,15
503,3,57.0,2,harmonic,[],[],14,22
115,3,62.0,5,harmonic,[],[],3,4
391,3,174.0,1,harmonic,[],[],10,16
157,3,162.0,0,harmonic,[],[],3,25
249,3,178.0,5,harmonic,[],[],6,11
237,3,298.0,1,harmonic,[],[],5,24
533,3,63.0,4,harmonic,[],[],16,18
381,3,69.0,5,harmonic,[],[],10,11
75,3,66.0,2,harmonic,[],[],2,6
149,3,68.0,1,harmonic,[],[],3,21
521,3,72.0,2,harmonic,[],[],15,21
259,3,101.0,2,harmonic,[],[],6,16
413,3,73.0,4,harmonic,[],[],11,13
349,3,77.0,4,harmonic,[],[],9,10
547,3,81.0,0,harmonic,[],[],16,25
475,3,150.0,2,harmonic,[],[],13,19
135,3,83.0,2,harmonic,[],[],3,14
221,3,153.0,1,harmonic,[],[],5,16
47,3,188.0,2,harmonic,[],[],1,15
99,258,19550.0,1,harmonic,[],[],2,18
399,3,88.0,1,harmonic,[],[],10,20
245,3,79.0,3,harmonic,[],[],6,9
537,3,86.0,4,harmonic,[],[],16,20
233,3,95.0,0,harmonic,[],[],5,22
599,3,92.0,4,harmonic,[],[],20,25
109,3,158.0,0,harmonic,[],[],2,23
59,3,99.0,0,harmonic,[],[],1,21
603,3,183.0,4,harmonic,[],[],21,23
471,3,113.0,4,harmonic,[],[],13,17
299,3,104.0,1,harmonic,[],[],7,18
23,3,110.0,5,harmonic,[],[],1,3
325,3,118.0,3,harmonic,[],[],8,14
455,3,122.0,1,harmonic,[],[],12,21
317,3,143.0,5,harmonic,[],[],8,10
187,3,129.0,1,harmonic,[],[],4,19
57,13,519.0,4,harmonic,[],[],1,20
65,3,138.0,0,harmonic,[],[],1,24
281,3,133.0,5,harmonic,[],[],7,9
425,3,196.0,4,harmonic,[],[],11,19
571,3,166.0,4,harmonic,[],[],18,22
331,3,192.0,1,harmonic,[],[],8,17
377,3,169.0,1,harmonic,[],[],9,24
471,13,722.0,2,harmonic,[],[],13,17
257,3,202.0,3,harmonic,[],[],6,15
25,3,206.0,5,harmonic,[],[],1,4
591,3,210.0,5,harmonic,[],[],20,21
77,3,306.0,5,harmonic,[],[],2,7
401,3,397.0,1,harmonic,[],[],10,21
53,3,358.0,0,harmonic,[],[],1,18
205,3,213.0,5,harmonic,[],[],5,8
389,3,223.0,5,harmonic,[],[],10,15
101,3,218.0,0,harmonic,[],[],2,19
265,3,254.0,2,harmonic,[],[],6,19
41,3,319.0,2,harmonic,[],[],1,12
243,3,227.0,5,harmonic,[],[],6,8
421,3,231.0,2,harmonic,[],[],11,17
353,3,248.0,4,harmonic,[],[],9,12
453,3,312.0,1,harmonic,[],[],12,20
611,3,236.0,5,harmonic,[],[],22,24
407,3,242.0,1,harmonic,[],[],10,24
551,3,334.0,5,harmonic,[],[],17,19
125,3,326.0,3,harmonic,[],[],3,9
541,3,407.0,2,harmonic,[],[],16,22
153,3,377.0,1,harmonic,[],[],3,23
181,3,367.0,3,harmonic,[],[],4,16
545,3,386.0,2,harmonic,[],[],16,24
311,3,265.0,1,harmonic,[],[],7,24
377,13,533.0,1,harmonic,[],[],9,24
73,3,259.0,5,harmonic,[],[],2,5
27,3,293.0,4,harmonic,[],[],1,5
95,3,271.0,1,harmonic,[],[],2,16
79,13,526.0,2,harmonic,[],[],2,8
175,13,412.0,1,harmonic,[],[],4,13
129,3,288.0,3,harmonic,[],[],3,11
109,46,3136.0,0,harmonic,[],[],2,23
405,3,349.0,0,harmonic,[],[],10,23
307,3,278.0,0,harmonic,[],[],7,22
269,3,283.0,1,harmonic,[],[],6,21
183,3,342.0,2,harmonic,[],[],4,17
191,13,417.0,1,harmonic,[],[],4,21
417,13,421.0,2,harmonic,[],[],11,15
87,13,429.0,1,harmonic,[],[],2,12
393,13,555.0,2,harmonic,[],[],10,17
111,13,426.0,1,harmonic,[],[],2,24
549,13,549.0,4,harmonic,[],[],17,18
97,3,416.0,2,harmonic,[],[],2,17
297,3,425.0,1,harmonic,[],[],7,17
371,13,441.0,0,harmonic,[],[],9,21
279,13,436.0,2,harmonic,[],[],7,8
557,13,453.0,2,harmonic,[],[],17,22
375,13,458.0,0,harmonic,[],[],9,23
413,55,4085.0,5,harmonic,[],[],11,13
85,13,732.0,2,harmonic,[],[],2,11
557,3,454.0,4,harmonic,[],[],17,22
493,13,445.0,2,harmonic,[],[],14,17
459,13,568.0,2,harmonic,[],[],12,23
387,3,434.0,5,harmonic,[],[],10,14
217,3,447.0,3,harmonic,[],[],5,14
579,13,449.0,2,harmonic,[],[],19,20
275,13,561.0,0,harmonic,[],[],6,24
401,13,635.0,2,harmonic,[],[],10,21
433,13,470.0,2,harmonic,[],[],11,23
539,3,464.0,2,harmonic,[],[],16,21
577,13,475.0,2,harmonic,[],[],18,25
215,13,647.0,2,harmonic,[],[],5,13
443,13,462.0,2,harmonic,[],[],12,15
21,13,467.0,4,harmonic,[],[],1,2
399,13,655.0,2,harmonic,[],[],10,20
107,13,502.0,0,harmonic,[],[],2,22
287,13,495.0,2,harmonic,[],[],7,12
271,47,3138.0,1,harmonic,[],[],6,22
135,13,573.0,2,harmonic,[],[],3,14
495,13,484.0,2,harmonic,[],[],14,18
363,13,488.0,2,harmonic,[],[],9,17
121,13,629.0,4,harmonic,[],[],3,7
297,13,584.0,2,harmonic,[],[],7,17
341,13,682.0,2,harmonic,[],[],8,22
41,13,578.0,4,harmonic,[],[],1,12
53,13,604.0,2,harmonic,[],[],1,18
619,27,1688.0,6,harmonic,[],[],24,25
461,13,738.0,1,harmonic,[],[],12,24
129,13,621.0,2,harmonic,[],[],3,11
333,13,610.0,2,harmonic,[],[],8,18
589,13,639.0,4,harmonic,[],[],19,25
307,13,512.0,1,harmonic,[],[],7,22
93,13,598.0,0,harmonic,[],[],2,15
185,103,7661.0,2,harmonic,[],[],4,18
235,13,660.0,0,harmonic,[],[],5,23
405,13,758.0,2,harmonic,[],[],10,23
193,13,796.0,0,harmonic,[],[],4,22
167,13,789.0,2,harmonic,[],[],4,9
447,13,743.0,2,harmonic,[],[],12,17
489,13,751.0,4,harmonic,[],[],14,15
89,13,781.0,2,harmonic,[],[],2,13
485,13,768.0,2,harmonic,[],[],13,24
31,13,667.0,2,harmonic,[],[],1,7
357,13,675.0,4,harmonic,[],[],9,14
373,13,825.0,4,harmonic,[],[],9,22
529,13,843.0,2,harmonic,[],[],15,25
497,13,763.0,4,harmonic,[],[],14,19
177,13,851.0,2,harmonic,[],[],4,14
83,13,859.0,4,harmonic,[],[],2,10
49,13,689.0,2,harmonic,[],[],1,16
139,258,19551.0,1,harmonic,[],[],3,16
45,13,699.0,4,harmonic,[],[],1,14
203,13,714.0,4,harmonic,[],[],5,7
609,13,819.0,4,harmonic,[],[],22,23
351,13,804.0,4,harmonic,[],[],9,11
131,13,831.0,1,harmonic,[],[],3,12
475,13,774.0,4,harmonic,[],[],13,19
305,13,811.0,2,harmonic,[],[],7,21
69,13,866.0,4,harmonic,[],[],2,3
567,13,872.0,4,harmonic,[],[],18,20
269,13,1057.0,2,harmonic,[],[],6,21
99,13,945.0,2,harmonic,[],[],2,18
293,13,880.0,1,harmonic,[],[],7,15
365,13,887.0,2,harmonic,[],[],9,18
117,79,5635.0,5,harmonic,[],[],3,5
541,46,3143.0,4,harmonic,[],[],16,22
201,13,898.0,2,harmonic,[],[],5,6
43,13,907.0,1,harmonic,[],[],1,13
435,27,1800.0,1,harmonic,[],[],11,24
77,13,930.0,4,harmonic,[],[],2,7
97,13,921.0,2,harmonic,[],[],2,17
277,13,975.0,4,harmonic,[],[],6,25
185,13,996.0,2,harmonic,[],[],4,18
501,47,3144.0,4,harmonic,[],[],14,21
27,13,1021.0,4,harmonic,[],[],1,5
317,13,984.0,5,harmonic,[],[],8,10
423,68,5222.0,1,harmonic,[],[],11,18
393,37,3145.0,4,harmonic,[],[],10,17
59,103,7669.0,1,harmonic,[],[],1,21
535,55,4090.0,4,harmonic,[],[],16,19
317,27,1809.0,6,harmonic,[],[],8,10
93,39,3148.0,4,harmonic,[],[],2,15
53,258,19552.0,0,harmonic,[],[],1,18
33,42,3149.0,6,harmonic,[],[],1,8
57,27,1819.0,0,harmonic,[],[],1,20
143,79,5639.0,0,harmonic,[],[],3,18
163,27,1833.0,5,harmonic,[],[],4,7
373,27,1826.0,1,harmonic,[],[],9,22
547,27,1570.0,1,harmonic,[],[],16,25
467,27,1565.0,5,harmonic,[],[],13,15
93,27,1549.0,0,harmonic,[],[],2,15
469,27,1843.0,6,harmonic,[],[],13,16
463,27,2065.0,1,harmonic,[],[],12,25
557,27,1557.0,4,harmonic,[],[],17,22
397,27,1558.0,2,harmonic,[],[],10,19
497,27,2020.0,4,harmonic,[],[],14,19
241,103,7239.0,5,harmonic,[],[],6,7
545,47,3153.0,2,harmonic,[],[],16,24
477,27,1573.0,3,harmonic,[],[],13,20
485,27,1580.0,1,harmonic,[],[],13,24
501,27,1581.0,2,harmonic,[],[],14,21
411,27,1589.0,5,harmonic,[],[],11,12
291,55,4095.0,2,harmonic,[],[],7,14
277,27,1611.0,1,harmonic,[],[],6,25
457,27,1618.0,2,harmonic,[],[],12,22
263,46,3155.0,0,harmonic,[],[],6,18
433,27,1981.0,2,harmonic,[],[],11,23
583,27,1853.0,4,harmonic,[],[],19,22
291,27,1628.0,4,harmonic,[],[],7,14
259,27,1859.0,3,harmonic,[],[],6,16
253,27,1891.0,5,harmonic,[],[],6,13
321,27,1598.0,2,harmonic,[],[],8,12
331,27,1603.0,2,harmonic,[],[],8,17
189,27,1874.0,2,harmonic,[],[],4,20
487,27,2005.0,4,harmonic,[],[],13,25
111,27,1635.0,0,harmonic,[],[],2,24
101,27,1866.0,2,harmonic,[],[],2,19
209,258,19553.0,5,harmonic,[],[],5,10
181,27,1992.0,4,harmonic,[],[],4,16
115,27,1643.0,5,harmonic,[],[],3,4
521,27,1680.0,2,harmonic,[],[],15,21
275,27,1710.0,1,harmonic,[],[],6,24
461,27,1880.0,4,harmonic,[],[],12,24
351,79,5644.0,4,harmonic,[],[],9,11
135,27,1653.0,2,harmonic,[],[],3,14
341,27,1670.0,2,harmonic,[],[],8,22
435,42,3157.0,0,harmonic,[],[],11,24
595,27,1662.0,4,harmonic,[],[],20,23
407,27,1898.0,2,harmonic,[],[],10,24
507,27,1906.0,4,harmonic,[],[],14,24
307,27,1702.0,1,harmonic,[],[],7,22
517,27,2076.0,4,harmonic,[],[],15,19
613,27,2032.0,2,harmonic,[],[],22,25
243,27,2085.0,5,harmonic,[],[],6,8
417,47,3160.0,5,harmonic,[],[],11,15
467,55,4099.0,5,harmonic,[],[],13,15
319,27,1694.0,4,harmonic,[],[],8,11
53,27,1944.0,1,harmonic,[],[],1,18
423,27,1962.0,2,harmonic,[],[],11,18
539,27,1972.0,4,harmonic,[],[],16,21
445,27,1716.0,4,harmonic,[],[],12,16
219,27,1952.0,1,harmonic,[],[],5,15
387,37,3158.0,4,harmonic,[],[],10,14
493,27,1721.0,4,harmonic,[],[],14,17
49,27,1768.0,1,harmonic,[],[],1,16
143,27,1731.0,1,harmonic,[],[],3,18
369,27,1759.0,3,harmonic,[],[],9,20
515,27,1741.0,6,harmonic,[],[],15,18
215,27,1748.0,2,harmonic,[],[],5,13
149,27,1751.0,2,harmonic,[],[],3,21
283,27,1777.0,4,harmonic,[],[],7,10
163,46,3162.0,6,harmonic,[],[],4,7
245,46,3223.0,5,harmonic,[],[],6,9
59,27,1927.0,0,harmonic,[],[],1,21
245,27,1916.0,5,harmonic,[],[],6,9
213,27,1937.0,5,harmonic,[],[],5,12
409,27,1787.0,1,harmonic,[],[],10,25
257,39,3163.0,2,harmonic,[],[],6,15
505,27,2039.0,1,harmonic,[],[],14,23
171,101,7674.0,4,harmonic,[],[],4,11
27,27,2093.0,6,harmonic,[],[],1,5
615,27,2049.0,5,harmonic,[],[],23,24
439,27,2056.0,4,harmonic,[],[],12,13
339,27,2127.0,1,harmonic,[],[],8,21
437,27,2137.0,0,harmonic,[],[],11,25
349,47,3165.0,4,harmonic,[],[],9,10
199,39,2644.0,1,harmonic,[],[],4,25
455,27,2106.0,2,harmonic,[],[],12,21
117,27,2117.0,6,harmonic,[],[],3,5
299,55,4102.0,1,harmonic,[],[],7,18
581,258,19555.0,5,harmonic,[],[],19,21
609,79,5651.0,5,harmonic,[],[],22,23
265,27,2152.0,1,harmonic,[],[],6,19
63,27,2145.0,0,harmonic,[],[],1,23
343,27,2158.0,0,harmonic,[],[],8,23
371,27,2162.0,3,harmonic,[],[],9,21
555,27,2181.0,4,harmonic,[],[],17,21
389,27,2186.0,4,harmonic,[],[],10,15
247,27,2168.0,4,harmonic,[],[],6,10
153,27,2192.0,1,harmonic,[],[],3,23
327,27,2175.0,4,harmonic,[],[],8,15
401,42,3170.0,0,harmonic,[],[],10,21
617,39,2620.0,6,harmonic,[],[],23,25
