tag,rating,n_ratings,color,network_id
strong,2.5,2.0,#2800ff,2
piercing,3.0,5.0,#2800ff,2
bold,3.3333333333333335,6.0,#2800ff,2
vibrant,3.8333333333333335,6.0,#2800ff,2
blue,5.0,3.0,#0028ff,3
royal,,,#0028ff,3
dark,2.111111111111111,9.0,#0028ff,3
bold,3.0,6.0,#0028ff,3
colour of the sky,3.0,2.0,#0028ff,3
bright,3.2,5.0,#0028ff,3
ice,2.0,2.0,#0092ff,4
blue,,,#0092ff,4
cool,4.0,5.0,#0092ff,4
sea,3.75,8.0,#0092ff,4
bold,2.3333333333333335,6.0,#0092ff,4
sky,4.0,8.0,#0092ff,4
bright,3.5555555555555554,9.0,#0092ff,4
fresh,3.5,4.0,#0092ff,4
water,4.125,8.0,#0092ff,4
light,3.111111111111111,9.0,#00b2ff,5
cool,3.6666666666666665,3.0,#00b2ff,5
sky,4.2,5.0,#00b2ff,5
calm,4.0,2.0,#00b2ff,5
bright,3.6666666666666665,9.0,#00b2ff,5
water,4.2,5.0,#00b2ff,5
pale blue,,,#00ffff,6
light,3.125,8.0,#00ffff,6
calm,2.888888888888889,9.0,#00ffff,6
sky,3.0,8.0,#00ffff,6
ocean,3.8,5.0,#00ffff,6
bright,3.5,8.0,#00ffff,6
vibrant,2.6666666666666665,3.0,#00ffff,6
vibrant,4.222222222222222,9.0,#00ff61,7
colour of grass,2.6666666666666665,3.0,#00ff61,7
bright,3.875,8.0,#00ff61,7
fresh,4.0,4.0,#00ff61,7
plants,1.0,1.0,#77ff00,8
warm,,,#77ff00,8
garden,2.2857142857142856,7.0,#77ff00,8
neon,3.1666666666666665,6.0,#77ff00,8
spring,3.0,1.0,#77ff00,8
bold,4.166666666666667,6.0,#77ff00,8
trees,1.8571428571428572,7.0,#77ff00,8
bright,4.333333333333333,6.0,#77ff00,8
vibrant,4.333333333333333,6.0,#77ff00,8
neon,4.0,5.0,#b3ff00,9
light,2.75,8.0,#b3ff00,9
colour of grass,3.0,2.0,#b3ff00,9
luminous,4.25,4.0,#b3ff00,9
light green,5.0,1.0,#b3ff00,9
vibrant,4.375,8.0,#b3ff00,9
bright,4.0,8.0,#b3ff00,9
sickly,2.5555555555555554,9.0,#b3ff00,9
sun,4.75,8.0,#fff200,10
happy,3.8333333333333335,6.0,#fff200,10
warmth,3.4,5.0,#fff200,10
summer,3.6,5.0,#fff200,10
bright,4.333333333333333,9.0,#fff200,10
warm,4.444444444444445,9.0,#ffbe00,11
sun,4.444444444444445,9.0,#ffbe00,11
happy,,,#ffbe00,11
golden,4.5,8.0,#ffbe00,11
mellow,3.0,4.0,#ffbe00,11
summer,3.857142857142857,7.0,#ffbe00,11
mustard,3.0,1.0,#ffbe00,11
yolk,4.5,2.0,#ffbe00,11
bright,4.0,7.0,#ffbe00,11
strong,1.6666666666666667,6.0,#ff9b00,12
orange,5.0,3.0,#ff9b00,12
autum,4.0,7.0,#ff9b00,12
golden,3.5,6.0,#ff9b00,12
sunset,3.625,8.0,#ff9b00,12
colour of an orange,4.0,3.0,#ff5700,13
warm,3.7777777777777777,9.0,#ff5700,13
warmth,4.166666666666667,6.0,#ff5700,13
autumn,4.25,8.0,#ff5700,13
fire,3.5,6.0,#ff5700,13
bright,2.5,4.0,#ff5700,13
warning,4.25,4.0,#ff0000,14
alert,4.25,4.0,#ff0000,14
blood,4.0,1.0,#ff0000,14
red,5.0,2.0,#ff0000,14
danger,3.0,2.0,#ff0000,14
bold,4.0,7.0,#ff0000,14
vibrant,3.4285714285714284,7.0,#ff0000,14
bright,3.7142857142857144,7.0,#ff0000,14
warning,2.0,2.0,#ff0000,15
confident,3.1666666666666665,6.0,#ff0000,15
love,3.0,7.0,#ff0000,15
hot,3.5,8.0,#ff0000,15
danger,4.5,2.0,#ff0000,15
dark,1.0,9.0,#ff0000,15
bold,3.8333333333333335,6.0,#ff0000,15
evil,2.2222222222222223,9.0,#ff0000,15
bright,4.0,6.0,#ff0000,15
vibrant,3.4,5.0,#ff0000,15
stop,4.5,2.0,#ff0000,15
