order,y_coordinate,x_coordinate,r,g,b
1,10,0,243,243,243
2,9,0,229,229,229
3,9,1,242,226,225
4,9,2,243,226,223
5,9,3,244,226,221
6,9,4,245,226,219
7,9,5,246,226,215
8,9,6,246,226,210
9,9,7,245,227,206
10,9,8,243,228,202
11,9,9,250,228,172
12,9,10,249,230,142
13,9,11,243,232,140
14,9,12,237,234,140
15,9,13,228,236,142
16,9,14,223,236,172
17,9,15,219,235,204
18,9,16,213,236,209
19,9,17,209,236,214
20,9,18,207,237,219
21,9,19,205,237,222
22,9,20,204,237,224
23,9,21,204,237,227
24,9,22,204,236,230
25,9,23,204,236,233
26,9,24,206,235,235
27,9,25,208,234,238
28,9,26,211,234,239
29,9,27,214,233,239
30,9,28,217,232,240
31,9,29,221,231,240
32,9,30,223,230,240
33,9,31,227,229,240
34,9,32,229,228,239
35,9,33,231,228,239
36,9,34,232,228,238
37,9,35,236,227,235
38,9,36,237,227,233
39,9,37,238,226,232
40,9,38,240,226,230
41,9,39,241,226,228
42,9,40,241,226,227
43,8,0,202,202,202
44,8,1,251,186,185
45,8,2,253,186,179
46,8,3,254,186,171
47,8,4,254,187,161
48,8,5,252,188,153
49,8,6,248,191,145
50,8,7,254,190,114
51,8,8,255,189,0
52,8,9,254,194,0
53,8,10,237,200,0
54,8,11,223,205,0
55,8,12,213,208,0
56,8,13,197,213,0
57,8,14,182,215,68
58,8,15,156,220,94
59,8,16,147,220,136
60,8,17,127,222,156
61,8,18,137,219,178
62,8,19,133,219,185
63,8,20,130,219,192
64,8,21,127,219,198
65,8,22,154,214,204
66,8,23,154,213,209
67,8,24,154,213,215
68,8,25,155,212,219
69,8,26,160,210,223
70,8,27,166,209,225
71,8,28,173,207,228
72,8,29,164,207,245
73,8,30,175,204,247
74,8,31,195,201,229
75,8,32,201,200,227
76,8,33,207,198,226
77,8,34,211,197,223
78,8,35,227,191,226
79,8,36,234,189,221
80,8,37,240,188,213
81,8,38,245,187,205
82,8,39,247,186,198
83,8,40,250,186,192
84,7,0,175,175,175
85,7,1,238,152,154
86,7,2,239,152,146
87,7,3,254,146,124
88,7,4,251,149,109
89,7,5,247,152,95
90,7,6,255,149,0
91,7,7,245,156,0
92,7,8,234,162,0
93,7,9,219,168,0
94,7,10,207,173,0
95,7,11,196,177,0
96,7,12,185,181,0
97,7,13,170,185,0
98,7,14,151,190,0
99,7,15,129,193,71
100,7,16,105,195,96
101,7,17,72,198,123
102,7,18,88,195,148
103,7,19,79,195,156
104,7,20,71,195,164
105,7,21,63,195,172
106,7,22,54,195,182
107,7,23,100,190,187
108,7,24,100,189,195
109,7,25,102,188,201
110,7,26,109,186,208
111,7,27,118,185,211
112,7,28,105,184,228
113,7,29,125,181,231
114,7,30,140,178,232
115,7,31,164,174,217
116,7,32,175,171,215
117,7,33,183,169,211
118,7,34,190,167,207
119,7,35,209,159,209
120,7,36,217,157,201
121,7,37,235,149,196
122,7,38,242,147,182
123,7,39,233,153,172
124,7,40,236,153,162
125,6,0,149,149,149
126,6,1,235,109,119
127,6,2,236,110,106
128,6,3,236,112,89
129,6,4,244,108,47
130,6,5,240,112,0
131,6,6,219,126,21
132,6,7,210,132,0
133,6,8,200,137,0
134,6,9,187,143,0
135,6,10,176,147,0
136,6,11,167,151,0
137,6,12,157,154,0
138,6,13,144,157,0
139,6,14,127,161,0
140,6,15,91,168,0
141,6,16,50,171,53
142,6,17,31,170,100
143,6,18,0,171,119
144,6,19,0,171,129
145,6,20,0,171,138
146,6,21,2,168,147
147,6,22,0,167,158
148,6,23,0,167,167
149,6,24,0,166,177
150,6,25,0,165,186
151,6,26,25,162,194
152,6,27,57,160,198
153,6,28,35,159,215
154,6,29,77,155,218
155,6,30,102,151,219
156,6,31,135,146,203
157,6,32,149,142,200
158,6,33,161,139,197
159,6,34,170,136,191
160,6,35,190,128,192
161,6,36,198,125,182
162,6,37,205,123,171
163,6,38,212,121,156
164,6,39,229,111,146
165,6,40,233,110,132
166,5,0,123,123,123
167,5,1,217,68,93
168,5,2,218,70,74
169,5,3,218,72,54
170,5,4,220,72,0
171,5,5,202,90,0
172,5,6,187,100,0
173,5,7,174,108,0
174,5,8,166,113,0
175,5,9,154,118,14
176,5,10,146,121,0
177,5,11,138,124,0
178,5,12,129,127,0
179,5,13,118,130,1
180,5,14,105,133,24
181,5,15,74,138,11
182,5,16,0,144,24
183,5,17,0,146,70
184,5,18,0,144,95
185,5,19,0,144,105
186,5,20,0,144,114
187,5,21,0,144,124
188,5,22,0,140,134
189,5,23,0,140,142
190,5,24,0,139,152
191,5,25,0,137,160
192,5,26,0,135,168
193,5,27,7,133,172
194,5,28,0,132,188
195,5,29,0,129,205
196,5,30,51,125,206
197,5,31,105,118,190
198,5,32,126,113,186
199,5,33,140,109,181
200,5,34,151,105,174
201,5,35,162,101,166
202,5,36,180,90,164
203,5,37,189,86,151
204,5,38,197,82,134
205,5,39,212,70,123
206,5,40,215,69,107
207,4,0,97,97,97
