id,stim_1,stim_2,idx_1,idx_2,sex_1,sex_2,dataset_1,dataset_2,speaker_1,speaker_2
0,Alveolar_nasal.mp3,Bilabial_nasal.mp3,0,1,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
1,Alveolar_nasal.mp3,Voiced_alveolar_fricative.mp3,0,2,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
2,Alveolar_nasal.mp3,Voiced_alveolar_plosive.mp3,0,3,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
3,Alveolar_nasal.mp3,Voiced_bilabial_plosive.mp3,0,4,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
4,Alveolar_nasal.mp3,Voiced_dental_fricative.mp3,0,5,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
5,Alveolar_nasal.mp3,Voiced_labiodental_fricative.mp3,0,6,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
6,Alveolar_nasal.mp3,Voiced_postalveolar_fricative.mp3,0,7,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
7,Alveolar_nasal.mp3,Voiced_velar_plosive.mp3,0,8,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
8,Alveolar_nasal.mp3,Voiceless_alveolar_fricative.mp3,0,9,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
9,Alveolar_nasal.mp3,Voiceless_alveolar_plosive.mp3,0,10,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
10,Alveolar_nasal.mp3,Voiceless_bilabial_plosive.mp3,0,11,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
11,Alveolar_nasal.mp3,Voiceless_dental_fricative.mp3,0,12,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
12,Alveolar_nasal.mp3,Voiceless_labiodental_fricative.mp3,0,13,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
13,Alveolar_nasal.mp3,Voiceless_postalveolar_fricative.mp3,0,14,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
14,Alveolar_nasal.mp3,Voiceless_velar_plosive.mp3,0,15,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
15,Bilabial_nasal.mp3,Voiced_alveolar_fricative.mp3,1,2,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
16,Bilabial_nasal.mp3,Voiced_alveolar_plosive.mp3,1,3,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
17,Bilabial_nasal.mp3,Voiced_bilabial_plosive.mp3,1,4,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
18,Bilabial_nasal.mp3,Voiced_dental_fricative.mp3,1,5,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
19,Bilabial_nasal.mp3,Voiced_labiodental_fricative.mp3,1,6,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
20,Bilabial_nasal.mp3,Voiced_postalveolar_fricative.mp3,1,7,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
21,Bilabial_nasal.mp3,Voiced_velar_plosive.mp3,1,8,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
22,Bilabial_nasal.mp3,Voiceless_alveolar_fricative.mp3,1,9,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
23,Bilabial_nasal.mp3,Voiceless_alveolar_plosive.mp3,1,10,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
24,Bilabial_nasal.mp3,Voiceless_bilabial_plosive.mp3,1,11,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
25,Bilabial_nasal.mp3,Voiceless_dental_fricative.mp3,1,12,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
26,Bilabial_nasal.mp3,Voiceless_labiodental_fricative.mp3,1,13,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
27,Bilabial_nasal.mp3,Voiceless_postalveolar_fricative.mp3,1,14,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
28,Bilabial_nasal.mp3,Voiceless_velar_plosive.mp3,1,15,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
29,Voiced_alveolar_fricative.mp3,Voiced_alveolar_plosive.mp3,2,3,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
30,Voiced_alveolar_fricative.mp3,Voiced_bilabial_plosive.mp3,2,4,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
31,Voiced_alveolar_fricative.mp3,Voiced_dental_fricative.mp3,2,5,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
32,Voiced_alveolar_fricative.mp3,Voiced_labiodental_fricative.mp3,2,6,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
33,Voiced_alveolar_fricative.mp3,Voiced_postalveolar_fricative.mp3,2,7,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
34,Voiced_alveolar_fricative.mp3,Voiced_velar_plosive.mp3,2,8,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
35,Voiced_alveolar_fricative.mp3,Voiceless_alveolar_fricative.mp3,2,9,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
36,Voiced_alveolar_fricative.mp3,Voiceless_alveolar_plosive.mp3,2,10,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
37,Voiced_alveolar_fricative.mp3,Voiceless_bilabial_plosive.mp3,2,11,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
38,Voiced_alveolar_fricative.mp3,Voiceless_dental_fricative.mp3,2,12,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
39,Voiced_alveolar_fricative.mp3,Voiceless_labiodental_fricative.mp3,2,13,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
40,Voiced_alveolar_fricative.mp3,Voiceless_postalveolar_fricative.mp3,2,14,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
41,Voiced_alveolar_fricative.mp3,Voiceless_velar_plosive.mp3,2,15,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
42,Voiced_alveolar_plosive.mp3,Voiced_bilabial_plosive.mp3,3,4,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
43,Voiced_alveolar_plosive.mp3,Voiced_dental_fricative.mp3,3,5,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
