"id","f0_1","chord_1","f0_2","chord_2","synth","parametrization","shepardize","target","type","idx_1","idx_2"
0,60,"[]",60.25,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,2
1,60,"[]",60.5,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,3
2,60,"[]",60.75,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,4
3,60,"[]",61,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,5
4,60,"[]",61.25,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,6
5,60,"[]",61.5,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,7
6,60,"[]",61.75,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,8
7,60,"[]",62,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,9
8,60,"[]",62.25,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,10
9,60,"[]",62.5,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,11
10,60,"[]",62.75,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,12
11,60,"[]",63,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,13
12,60,"[]",63.25,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,14
13,60,"[]",63.5,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,15
14,60,"[]",63.75,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,16
15,60,"[]",64,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,17
16,60,"[]",64.25,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,18
17,60,"[]",64.5,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,19
18,60,"[]",64.75,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,20
19,60,"[]",65,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,21
20,60,"[]",65.25,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,22
21,60,"[]",65.5,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,23
22,60,"[]",65.75,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,24
23,60,"[]",66,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,25
24,60,"[]",66.25,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,26
25,60,"[]",66.5,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,27
26,60,"[]",66.75,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,28
27,60,"[]",67,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,29
28,60,"[]",67.25,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,30
29,60,"[]",67.5,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,31
30,60,"[]",67.75,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,32
31,60,"[]",68,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,33
32,60,"[]",68.25,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,34
33,60,"[]",68.5,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,35
34,60,"[]",68.75,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,36
35,60,"[]",69,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,37
36,60,"[]",69.25,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,38
37,60,"[]",69.5,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,39
38,60,"[]",69.75,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,40
39,60,"[]",70,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,41
40,60,"[]",70.25,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,42
41,60,"[]",70.5,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,43
42,60,"[]",70.75,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,44
43,60,"[]",71,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,45
44,60,"[]",71.25,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,46
45,60,"[]",71.5,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,47
46,60,"[]",71.75,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,48
47,60,"[]",72,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,49
48,60,"[]",72.25,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,50
49,60,"[]",72.5,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,51
50,60,"[]",72.75,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,52
51,60,"[]",73,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,53
52,60,"[]",73.25,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,54
53,60,"[]",73.5,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,55
54,60,"[]",73.75,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,56
55,60,"[]",74,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,57
56,60,"[]",74.25,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,58
57,60,"[]",74.5,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,59
58,60,"[]",74.75,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,60
59,60,"[]",75,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,61
60,60,"[]",75.25,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,62
61,60,"[]",75.5,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,63
62,60,"[]",75.75,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,64
63,60,"[]",76,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,65
64,60,"[]",76.25,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,66
65,60,"[]",76.5,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,67
66,60,"[]",76.75,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,68
67,60,"[]",77,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,69
68,60,"[]",77.25,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,70
69,60,"[]",77.5,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,71
70,60,"[]",77.75,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,72
71,60,"[]",78,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,73
72,60,"[]",78.25,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,74
73,60,"[]",78.5,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,75
74,60,"[]",78.75,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,76
75,60,"[]",79,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,77
76,60,"[]",79.25,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,78
77,60,"[]",79.5,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,79
78,60,"[]",79.75,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,80
79,60,"[]",80,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,81
80,60,"[]",80.25,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,82
81,60,"[]",80.5,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,83
82,60,"[]",80.75,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,84
83,60,"[]",81,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,85
84,60,"[]",81.25,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,86
85,60,"[]",81.5,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,87
86,60,"[]",81.75,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,88
87,60,"[]",82,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,89
88,60,"[]",82.25,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,90
89,60,"[]",82.5,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,91
90,60,"[]",82.75,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,92
91,60,"[]",83,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,93
92,60,"[]",83.25,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,94
93,60,"[]",83.5,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,95
94,60,"[]",83.75,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,96
95,60,"[]",84,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,97
96,60.25,"[]",60.5,"[]","harmonic","cumulative",FALSE,"similar","similarity",2,3
97,60.25,"[]",60.75,"[]","harmonic","cumulative",FALSE,"similar","similarity",2,4
98,60.25,"[]",61,"[]","harmonic","cumulative",FALSE,"similar","similarity",2,5
99,60.25,"[]",61.25,"[]","harmonic","cumulative",FALSE,"similar","similarity",2,6
100,60.25,"[]",61.5,"[]","harmonic","cumulative",FALSE,"similar","similarity",2,7
101,60.25,"[]",61.75,"[]","harmonic","cumulative",FALSE,"similar","similarity",2,8
102,60.25,"[]",62,"[]","harmonic","cumulative",FALSE,"similar","similarity",2,9
103,60.25,"[]",62.25,"[]","harmonic","cumulative",FALSE,"similar","similarity",2,10
104,60.25,"[]",62.5,"[]","harmonic","cumulative",FALSE,"similar","similarity",2,11
105,60.25,"[]",62.75,"[]","harmonic","cumulative",FALSE,"similar","similarity",2,12
106,60.25,"[]",63,"[]","harmonic","cumulative",FALSE,"similar","similarity",2,13
107,60.25,"[]",63.25,"[]","harmonic","cumulative",FALSE,"similar","similarity",2,14
108,60.25,"[]",63.5,"[]","harmonic","cumulative",FALSE,"similar","similarity",2,15
109,60.25,"[]",63.75,"[]","harmonic","cumulative",FALSE,"similar","similarity",2,16
110,60.25,"[]",64,"[]","harmonic","cumulative",FALSE,"similar","similarity",2,17
111,60.25,"[]",64.25,"[]","harmonic","cumulative",FALSE,"similar","similarity",2,18
112,60.25,"[]",64.5,"[]","harmonic","cumulative",FALSE,"similar","similarity",2,19
113,60.25,"[]",64.75,"[]","harmonic","cumulative",FALSE,"similar","similarity",2,20
