"id","f0_1","chord_1","f0_2","chord_2","synth","parametrization","shepardize","target","type","idx_1","idx_2"
0,60,"[]",61,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,2
1,60,"[]",62,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,3
2,60,"[]",63,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,4
3,60,"[]",64,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,5
4,60,"[]",65,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,6
5,60,"[]",66,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,7
6,60,"[]",67,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,8
7,60,"[]",68,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,9
8,60,"[]",69,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,10
9,60,"[]",70,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,11
10,60,"[]",71,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,12
11,60,"[]",72,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,13
12,60,"[]",73,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,14
13,60,"[]",74,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,15
14,60,"[]",75,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,16
15,60,"[]",76,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,17
16,60,"[]",77,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,18
17,60,"[]",78,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,19
18,60,"[]",79,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,20
19,60,"[]",80,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,21
20,60,"[]",81,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,22
21,60,"[]",82,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,23
22,60,"[]",83,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,24
23,60,"[]",84,"[]","harmonic","cumulative",FALSE,"similar","similarity",1,25
24,61,"[]",62,"[]","harmonic","cumulative",FALSE,"similar","similarity",2,3
25,61,"[]",63,"[]","harmonic","cumulative",FALSE,"similar","similarity",2,4
26,61,"[]",64,"[]","harmonic","cumulative",FALSE,"similar","similarity",2,5
27,61,"[]",65,"[]","harmonic","cumulative",FALSE,"similar","similarity",2,6
28,61,"[]",66,"[]","harmonic","cumulative",FALSE,"similar","similarity",2,7
29,61,"[]",67,"[]","harmonic","cumulative",FALSE,"similar","similarity",2,8
30,61,"[]",68,"[]","harmonic","cumulative",FALSE,"similar","similarity",2,9
31,61,"[]",69,"[]","harmonic","cumulative",FALSE,"similar","similarity",2,10
32,61,"[]",70,"[]","harmonic","cumulative",FALSE,"similar","similarity",2,11
33,61,"[]",71,"[]","harmonic","cumulative",FALSE,"similar","similarity",2,12
34,61,"[]",72,"[]","harmonic","cumulative",FALSE,"similar","similarity",2,13
35,61,"[]",73,"[]","harmonic","cumulative",FALSE,"similar","similarity",2,14
36,61,"[]",74,"[]","harmonic","cumulative",FALSE,"similar","similarity",2,15
37,61,"[]",75,"[]","harmonic","cumulative",FALSE,"similar","similarity",2,16
38,61,"[]",76,"[]","harmonic","cumulative",FALSE,"similar","similarity",2,17
39,61,"[]",77,"[]","harmonic","cumulative",FALSE,"similar","similarity",2,18
40,61,"[]",78,"[]","harmonic","cumulative",FALSE,"similar","similarity",2,19
41,61,"[]",79,"[]","harmonic","cumulative",FALSE,"similar","similarity",2,20
42,61,"[]",80,"[]","harmonic","cumulative",FALSE,"similar","similarity",2,21
43,61,"[]",81,"[]","harmonic","cumulative",FALSE,"similar","similarity",2,22
44,61,"[]",82,"[]","harmonic","cumulative",FALSE,"similar","similarity",2,23
45,61,"[]",83,"[]","harmonic","cumulative",FALSE,"similar","similarity",2,24
46,61,"[]",84,"[]","harmonic","cumulative",FALSE,"similar","similarity",2,25
47,62,"[]",63,"[]","harmonic","cumulative",FALSE,"similar","similarity",3,4
48,62,"[]",64,"[]","harmonic","cumulative",FALSE,"similar","similarity",3,5
49,62,"[]",65,"[]","harmonic","cumulative",FALSE,"similar","similarity",3,6
50,62,"[]",66,"[]","harmonic","cumulative",FALSE,"similar","similarity",3,7
51,62,"[]",67,"[]","harmonic","cumulative",FALSE,"similar","similarity",3,8
52,62,"[]",68,"[]","harmonic","cumulative",FALSE,"similar","similarity",3,9
53,62,"[]",69,"[]","harmonic","cumulative",FALSE,"similar","similarity",3,10
54,62,"[]",70,"[]","harmonic","cumulative",FALSE,"similar","similarity",3,11
55,62,"[]",71,"[]","harmonic","cumulative",FALSE,"similar","similarity",3,12
56,62,"[]",72,"[]","harmonic","cumulative",FALSE,"similar","similarity",3,13
57,62,"[]",73,"[]","harmonic","cumulative",FALSE,"similar","similarity",3,14
58,62,"[]",74,"[]","harmonic","cumulative",FALSE,"similar","similarity",3,15
59,62,"[]",75,"[]","harmonic","cumulative",FALSE,"similar","similarity",3,16
60,62,"[]",76,"[]","harmonic","cumulative",FALSE,"similar","similarity",3,17
61,62,"[]",77,"[]","harmonic","cumulative",FALSE,"similar","similarity",3,18
62,62,"[]",78,"[]","harmonic","cumulative",FALSE,"similar","similarity",3,19
63,62,"[]",79,"[]","harmonic","cumulative",FALSE,"similar","similarity",3,20
64,62,"[]",80,"[]","harmonic","cumulative",FALSE,"similar","similarity",3,21
65,62,"[]",81,"[]","harmonic","cumulative",FALSE,"similar","similarity",3,22
66,62,"[]",82,"[]","harmonic","cumulative",FALSE,"similar","similarity",3,23
67,62,"[]",83,"[]","harmonic","cumulative",FALSE,"similar","similarity",3,24
68,62,"[]",84,"[]","harmonic","cumulative",FALSE,"similar","similarity",3,25
69,63,"[]",64,"[]","harmonic","cumulative",FALSE,"similar","similarity",4,5
70,63,"[]",65,"[]","harmonic","cumulative",FALSE,"similar","similarity",4,6
71,63,"[]",66,"[]","harmonic","cumulative",FALSE,"similar","similarity",4,7
72,63,"[]",67,"[]","harmonic","cumulative",FALSE,"similar","similarity",4,8
73,63,"[]",68,"[]","harmonic","cumulative",FALSE,"similar","similarity",4,9
74,63,"[]",69,"[]","harmonic","cumulative",FALSE,"similar","similarity",4,10
75,63,"[]",70,"[]","harmonic","cumulative",FALSE,"similar","similarity",4,11
76,63,"[]",71,"[]","harmonic","cumulative",FALSE,"similar","similarity",4,12
77,63,"[]",72,"[]","harmonic","cumulative",FALSE,"similar","similarity",4,13
78,63,"[]",73,"[]","harmonic","cumulative",FALSE,"similar","similarity",4,14
79,63,"[]",74,"[]","harmonic","cumulative",FALSE,"similar","similarity",4,15
80,63,"[]",75,"[]","harmonic","cumulative",FALSE,"similar","similarity",4,16
81,63,"[]",76,"[]","harmonic","cumulative",FALSE,"similar","similarity",4,17
82,63,"[]",77,"[]","harmonic","cumulative",FALSE,"similar","similarity",4,18
83,63,"[]",78,"[]","harmonic","cumulative",FALSE,"similar","similarity",4,19
84,63,"[]",79,"[]","harmonic","cumulative",FALSE,"similar","similarity",4,20
85,63,"[]",80,"[]","harmonic","cumulative",FALSE,"similar","similarity",4,21
86,63,"[]",81,"[]","harmonic","cumulative",FALSE,"similar","similarity",4,22
87,63,"[]",82,"[]","harmonic","cumulative",FALSE,"similar","similarity",4,23
88,63,"[]",83,"[]","harmonic","cumulative",FALSE,"similar","similarity",4,24
89,63,"[]",84,"[]","harmonic","cumulative",FALSE,"similar","similarity",4,25
90,64,"[]",65,"[]","harmonic","cumulative",FALSE,"similar","similarity",5,6
91,64,"[]",66,"[]","harmonic","cumulative",FALSE,"similar","similarity",5,7
